,ts,id,Gx,Gy,Gz,Ax,Ay,Az
0,-0.371,IMU0,1.6463414634146343,2.0121951219512195,-65.42682926829269,0.025390625,0.01171875,0.00390625
1,-0.371,IMU1,2.987804878048781,2.1951219512195124,-67.7439024390244,0.0068359375,0.0107421875,-0.001953125
2,-0.361,IMU0,2.1341463414634148,1.829268292682927,-65.0609756097561,0.025390625,0.0146484375,0.001953125
3,-0.361,IMU1,3.536585365853659,2.1341463414634148,-67.31707317073172,0.0068359375,0.0146484375,-0.00390625
4,-0.351,IMU0,1.6463414634146343,1.8902439024390245,-65.2439024390244,0.0263671875,0.01171875,0.0048828125
5,-0.351,IMU1,3.1097560975609757,2.3170731707317076,-67.31707317073172,0.0068359375,0.009765625,0.0
6,-0.341,IMU0,2.1341463414634148,2.0121951219512195,-65.42682926829269,0.0234375,0.0146484375,0.001953125
7,-0.341,IMU1,3.414634146341464,2.439024390243903,-67.5609756097561,0.0029296875,0.01171875,-0.00390625
8,-0.331,IMU0,1.7682926829268295,1.8902439024390245,-65.1829268292683,0.0263671875,0.0107421875,0.00390625
9,-0.331,IMU1,2.987804878048781,2.25609756097561,-67.13414634146342,0.009765625,0.0087890625,-0.001953125
10,-0.321,IMU0,2.1951219512195124,2.1341463414634148,-65.0609756097561,0.0234375,0.0146484375,0.0029296875
11,-0.321,IMU1,3.5975609756097566,2.378048780487805,-67.5609756097561,0.00390625,0.01171875,-0.00390625
12,-0.311,IMU0,1.707317073170732,1.8902439024390245,-65.48780487804879,0.0244140625,0.0087890625,0.0048828125
13,-0.311,IMU1,2.9268292682926833,2.3170731707317076,-67.5609756097561,0.0068359375,0.0078125,-0.001953125
14,-0.301,IMU0,2.0121951219512195,1.8902439024390245,-65.3658536585366,0.0244140625,0.013671875,0.001953125
15,-0.301,IMU1,3.536585365853659,2.1341463414634148,-67.5609756097561,0.005859375,0.0146484375,-0.0048828125
16,-0.291,IMU0,1.8902439024390245,1.9512195121951221,-65.3658536585366,0.0244140625,0.0087890625,0.0029296875
17,-0.291,IMU1,3.231707317073171,2.439024390243903,-67.37804878048782,0.0068359375,0.0087890625,-0.0029296875
18,-0.281,IMU0,1.8902439024390245,1.8902439024390245,-65.42682926829269,0.0234375,0.0146484375,0.0048828125
19,-0.281,IMU1,3.353658536585366,2.1951219512195124,-67.5609756097561,0.0048828125,0.013671875,-0.0029296875
20,-0.271,IMU0,1.829268292682927,2.0121951219512195,-65.3048780487805,0.0234375,0.009765625,0.001953125
21,-0.271,IMU1,3.2926829268292686,2.3170731707317076,-67.31707317073172,0.005859375,0.0087890625,-0.00390625
22,-0.261,IMU0,2.0121951219512195,1.7682926829268295,-65.1829268292683,0.0244140625,0.0166015625,0.00390625
23,-0.261,IMU1,3.414634146341464,2.25609756097561,-67.31707317073172,0.0068359375,0.0126953125,-0.001953125
24,-0.251,IMU0,1.8902439024390245,1.9512195121951221,-65.48780487804879,0.0234375,0.01171875,0.0029296875
25,-0.251,IMU1,3.231707317073171,2.378048780487805,-67.37804878048782,0.00390625,0.009765625,-0.001953125
26,-0.241,IMU0,1.8902439024390245,1.707317073170732,-65.2439024390244,0.025390625,0.015625,0.0029296875
27,-0.241,IMU1,3.353658536585366,2.073170731707317,-67.37804878048782,0.0078125,0.013671875,-0.00390625
28,-0.231,IMU0,2.073170731707317,1.8902439024390245,-65.3048780487805,0.025390625,0.0107421875,0.00390625
29,-0.231,IMU1,3.353658536585366,2.1341463414634148,-67.25609756097562,0.0068359375,0.009765625,-0.001953125
30,-0.221,IMU0,1.7682926829268295,2.0121951219512195,-64.81707317073172,0.0244140625,0.015625,0.001953125
31,-0.221,IMU1,3.231707317073171,2.3170731707317076,-67.43902439024392,0.005859375,0.0146484375,-0.0048828125
32,-0.211,IMU0,2.1951219512195124,1.829268292682927,-65.3658536585366,0.025390625,0.0107421875,0.0068359375
33,-0.211,IMU1,3.4756097560975614,2.073170731707317,-67.37804878048782,0.0068359375,0.009765625,0.001953125
34,-0.201,IMU0,1.707317073170732,1.829268292682927,-65.1219512195122,0.025390625,0.01171875,0.0
35,-0.201,IMU1,3.1707317073170733,2.25609756097561,-67.19512195121952,0.0078125,0.0126953125,-0.0068359375
36,-0.191,IMU0,2.25609756097561,1.7682926829268295,-65.3048780487805,0.02734375,0.0078125,0.0048828125
