,ts,error
0,0.019,4096
1,0.109,12288
2,0.619,4096
3,0.789,12288
4,0.859,4096
5,1.079,12288
6,1.179,4096
7,1.429,12288
8,1.529,4096
9,1.679,12288
10,1.839,4096
11,1.929,12288
12,1.969,4096
13,2.299,12288
14,2.449,4096
15,2.539,12288
16,2.709,4096
17,2.859,12288
18,2.899,4096
19,3.059,12288
20,3.089,4096
21,3.399,12288
22,3.519,4096
23,3.799,12288
24,3.839,4096
25,3.929,12288
26,4.149,4096
27,4.289,12288
28,4.919,4096
29,5.019,12288
30,5.119,4096
31,5.569,12288
32,5.849,4096
33,6.069,12288
34,6.109,4096
35,6.199,12288
36,6.229,4096
37,6.449,12288
38,6.469,4096
39,6.559,12288
40,6.599,4096
41,6.689,12288
42,6.729,4096
43,6.949,12288
44,6.969,4096
45,7.139,12288
46,7.309,4096
47,7.469,12288
48,7.489,4096
49,7.579,12288
50,7.799,4096
51,8.089,12288
52,8.179,4096
53,8.269,12288
54,8.439,4096
55,8.649,12288
56,8.859,4096
57,8.949,12288
58,8.969,4096
59,9.089,12288
60,9.139,4096
61,9.229,12288
62,9.389,4096
63,9.869,12288
64,9.899,4096
65,10.099,12288
66,10.159,4096
67,10.249,12288
68,10.279,4096
69,10.369,12288
70,10.479,4096
71,10.569,12288
72,10.929,4096
73,11.199,12288
74,11.559,4096
75,11.729,12288
76,11.859,4096
77,11.949,12288
78,11.979,4096
79,12.069,12288
80,12.119,4096
81,12.279,12288
82,12.609,4096
83,12.779,12288
84,12.849,4096
85,12.989,12288
86,13.249,4096
87,13.339,12288
88,14.129,4096
89,14.409,12288
90,14.469,4096
91,14.609,12288
92,14.649,4096
93,14.739,12288
94,14.779,4096
95,15.139,12288
96,15.189,4096
97,15.419,12288
98,15.679,4096
99,15.979,12288
100,16.079,4096
101,16.979,12288
102,17.059,4096
103,17.389,12288
104,18.019,4096
105,18.289,12288
106,18.709,4096
107,19.119,12288
108,19.619,4096
109,19.759,12288
110,19.789,4096
111,19.879,12288
112,19.979,4096
113,20.179,12288
114,20.539,4096
115,20.829,12288
116,21.489,4096
117,21.619,12288
118,22.119,4096
119,22.279,12288
120,22.319,4096
121,22.459,12288
122,22.839,4096
123,22.949,12288
124,22.969,4096
125,23.059,12288
126,23.089,4096
127,23.179,12288
128,23.209,4096
129,23.299,12288
130,23.469,4096
131,23.559,12288
132,23.579,4096
133,23.749,12288
134,23.759,4096
135,24.019,12288
136,24.419,4096
137,24.519,12288
138,24.579,4096
139,24.729,12288
140,24.779,4096
141,24.909,12288
