,ts,mx,my,mz
0,31175,7.880181789398193,8.226449012756348,7.8361124992370605
1,31185,7.880181789398193,8.226449012756348,7.8361124992370605
2,31195,7.880181789398193,8.226449012756348,7.8361124992370605
3,31205,7.880181789398193,8.226449012756348,7.8361124992370605
4,31215,7.880181789398193,8.226449012756348,7.8361124992370605
5,31225,7.880181789398193,8.226449012756348,7.8361124992370605
6,31235,7.880181789398193,8.226449012756348,7.8361124992370605
7,31245,7.880181789398193,8.226449012756348,7.8361124992370605
8,31255,7.880181789398193,8.226449012756348,7.8361124992370605
9,31265,7.880181789398193,8.226449012756348,7.8361124992370605
