,ts,mx,my,mz
0,64587,0.01884361170232296,0.03293526545166969,0.4779149293899536
1,64597,0.019084425643086433,0.03337608277797699,0.47743478417396545
2,64607,0.018422190099954605,0.03306121379137039,0.4773147702217102
3,64617,0.0180007666349411,0.03337608277797699,0.47773486375808716
4,64627,0.01818137615919113,0.03318716213107109,0.4773147702217102
5,64637,0.018060971051454544,0.034131769090890884,0.47803497314453125
6,64647,0.0180007666349411,0.03482447937130928,0.4782150089740753
7,64657,0.01818137615919113,0.03450961038470268,0.47857511043548584
8,64667,0.0180007666349411,0.03476150333881378,0.47743478417396545
9,64677,0.017940564081072807,0.03532826900482178,0.4773147702217102
10,64687,0.017759954556822777,0.03482447937130928,0.4764145016670227
11,64697,0.01763954758644104,0.03432068973779678,0.47689464688301086
12,64707,0.01782015711069107,0.03482447937130928,0.4780949652194977
13,64717,0.017519140616059303,0.03532826900482178,0.4779149293899536
14,64727,0.017338531091809273,0.03482447937130928,0.4774948060512543
15,64737,0.016736499965190887,0.034446634352207184,0.4770146608352661
16,64747,0.01709771901369095,0.03495042771100998,0.47689464688301086
17,64757,0.017218124121427536,0.03432068973779678,0.47659456729888916
18,64767,0.016856905072927475,0.034068793058395386,0.4767145812511444
19,64777,0.016495686024427414,0.03369095176458359,0.4764145016670227
20,64787,0.016194669529795647,0.03337608277797699,0.4757543206214905
21,64797,0.01571304351091385,0.03331311047077179,0.4764145016670227
22,64807,0.014990605413913727,0.03318716213107109,0.4758143424987793
23,64817,0.013003898784518242,0.034068793058395386,0.47563427686691284
24,64827,0.0070437784306705,0.03627287596464157,0.4737137258052826
25,64837,0.00024081293668132275,0.039169665426015854,0.4713730812072754
26,64847,-0.007103981450200081,0.040806982666254044,0.4699326753616333
27,64857,-0.012943695299327374,0.039043720811605453,0.46777206659317017
28,64867,-0.01709771901369095,0.0320536345243454,0.4669318199157715
29,64877,-0.019927270710468292,0.021662967279553413,0.4661515951156616
30,64887,-0.020469099283218384,-0.005730610340833664,0.46657171845436096
31,64897,-0.017519140616059303,-0.01901806890964508,0.4664517045021057
32,64907,-0.011920240707695484,-0.0315498448908329,0.46501126885414124
33,64917,-0.0049968683160841465,-0.04250727593898773,0.4632107615470886
34,64927,0.0020469098817557096,-0.05245712772011757,0.461950421333313
35,64937,0.008187639527022839,-0.06158831715583801,0.46002987027168274
36,64947,0.012401865795254707,-0.06820055842399597,0.45618879795074463
37,64957,0.01426816638559103,-0.07361630350351334,0.4513274133205414
38,64967,0.0138467438519001,-0.07726877927780151,0.44532573223114014
39,64977,0.01029475312680006,-0.08136207610368729,0.43794363737106323
40,64987,0.006501949392259121,-0.08463671058416367,0.4310416877269745
41,64997,0.0031907714437693357,-0.08810026198625565,0.4233595132827759
42,65007,0.00024081293668132275,-0.09087111055850983,0.41273653507232666
43,65017,-0.002227519638836384,-0.09288626909255981,0.40271368622779846
44,65027,-0.0030101616866886616,-0.0953422412276268,0.39233076572418213
45,65037,-0.002709145424887538,-0.096097931265831,0.38386836647987366
46,65047,-0.0013846743386238813,-0.0960349515080452,0.3769664168357849
47,65057,-0.0010234549408778548,-0.094964399933815,0.3689841628074646
48,65067,-0.001685690600425005,-0.09301221370697021,0.35980159044265747
49,65077,-0.004033616743981838,-0.08929676562547684,0.349658727645874
50,65087,-0.0063815428875386715,-0.08526644110679626,0.3398159444332123
51,65097,-0.008127436973154545,-0.08211775869131088,0.33153361082077026
52,65107,-0.01107739470899105,-0.08155099302530289,0.3195302188396454
53,65117,-0.015652840957045555,-0.08211775869131088,0.3047660291194916
54,65127,-0.022034384310245514,-0.08444778621196747,0.27703821659088135
55,65137,-0.02474352903664112,-0.08438481390476227,0.2631142735481262
56,65147,-0.02660982869565487,-0.08577023446559906,0.24859018623828888
57,65157,-0.028837349265813828,-0.08791134506464005,0.22992491722106934
58,65167,-0.027934299781918526,-0.08910784125328064,0.22122246026992798
59,65177,-0.02715165913105011,-0.09118597954511642,0.21179980039596558
60,65187,-0.02648942358791828,-0.094397634267807,0.20441770553588867
61,65197,-0.023960886523127556,-0.0955941379070282,0.20471780002117157
62,65207,-0.023900683969259262,-0.09660171717405319,0.2018369883298874
63,65217,-0.025164952501654625,-0.09754632413387299,0.1974557489156723
64,65227,-0.027272064238786697,-0.09823903441429138,0.19583529233932495
65,65237,-0.03166690096259117,-0.10031716525554657,0.18605253100395203
66,65247,-0.03395462408661842,-0.09905769675970078,0.1900736689567566
67,65257,-0.03714539483189583,-0.09817606210708618,0.18851321935653687
68,65267,-0.03961372748017311,-0.09672766923904419,0.18959352374076843
69,65277,-0.04232287406921387,-0.0952792689204216,0.19307450950145721
70,65287,-0.04479120671749115,-0.09288626909255981,0.1951150894165039
71,65297,-0.04744014889001846,-0.09112299978733063,0.19733570516109467
72,65307,-0.050089091062545776,-0.08879297226667404,0.19763579964637756
73,65317,-0.052136000245809555,-0.08469968289136887,0.20201703906059265
74,65327,-0.054363518953323364,-0.08111017942428589,0.20651830732822418
75,65337,-0.05550738051533699,-0.07701688259840012,0.21191982924938202
76,65347,-0.05683185160160065,-0.07027869671583176,0.21900182962417603
77,65357,-0.05863795056939125,-0.05598365515470505,0.2356865406036377
78,65367,-0.058878764510154724,-0.04641164839267731,0.24516922235488892
79,65377,-0.05978181213140488,-0.03778424486517906,0.252491295337677
80,65387,-0.060263436287641525,-0.027834393084049225,0.25993338227272034
81,65397,-0.05930018424987793,-0.01744372583925724,0.27325713634490967
82,65407,-0.05851754546165466,-0.007430901285260916,0.2828598618507385
83,65417,-0.05857774615287781,0.002896792022511363,0.2907220721244812
84,65427,-0.05827673152089119,0.012279879301786423,0.29672378301620483
85,65437,-0.0595409981906414,0.021159177646040916,0.2980441451072693
