,ts,altitude_agl,raw_acceleration,filtered_altitude_AGL,filtered_acceleration
0,64588,,0.008982658386230469,-0.24653762578964233,0.004491329193115234
1,64598,,0.0,-0.27805644273757935,0.004491329193115234
2,64608,,0.0359344482421875,-0.24653762578964233,0.008983612060546875
3,64618,,0.01796722412109375,-0.27805644273757935,0.008983612060546875
4,64628,,-0.1437358856201172,-0.1861548125743866,0.008983612060546875
5,64638,,0.15271949768066406,-0.1861548125743866,0.008983612060546875
6,64648,,-0.0359344482421875,-0.2475089728832245,0.008983612060546875
7,64658,,0.06288528442382812,-0.15459713339805603,0.008983612060546875
8,64668,,0.06288433074951172,-0.15459713339805603,0.008983612060546875
9,64678,,0.04491710662841797,-0.09343335032463074,0.008983612060546875
10,64688,,0.04491710662841797,-0.1545843780040741,0.022458553314208984
11,64698,,0.04491710662841797,-0.09340104460716248,0.022458553314208984
12,64708,,0.05390167236328125,-0.06366106867790222,0.022458553314208984
13,64718,,0.044918060302734375,-0.06366106867790222,0.026950836181640625
14,64728,,0.0359344482421875,-0.1250143051147461,0.022459030151367188
15,64738,,0.08983516693115234,-0.12481209635734558,0.026950836181640625
16,64748,,0.09881877899169922,-0.24738872051239014,0.026950836181640625
17,64758,,0.12576961517333984,-0.24738872051239014,0.03144216537475586
18,64768,,0.1347522735595703,-0.18616533279418945,0.0359344482421875
19,64778,,0.16170310974121094,-0.15564870834350586,0.04491758346557617
20,64788,,0.2066202163696289,-0.15564870834350586,0.04940938949584961
21,64798,,0.6108789443969727,-0.15564870834350586,0.06288480758666992
22,64808,,2.362664222717285,-0.15564870834350586,0.06737613677978516
23,64818,,6.782554626464844,-0.1250143051147461,0.08085155487060547
24,64828,,12.073846817016602,-0.1565331220626831,0.10331010818481445
25,64838,,16.610523223876953,-0.1565331220626831,0.30543947219848633
26,64848,,19.844589233398438,-0.1565331220626831,1.1813321113586426
27,64858,,21.838930130004883,-0.1565331220626831,3.391277313232422
28,64868,,22.377941131591797,-0.2179674208164215,6.036923408508301
29,64878,,21.389753341674805,-0.18619763851165771,8.305261611938477
30,64888,,19.269643783569336,-0.1862867772579193,9.634821891784668
31,64898,,16.960880279541016,-0.27908340096473694,9.634821891784668
32,64908,,13.996318817138672,-0.34050798416137695,9.634821891784668
33,64918,,11.067691802978516,-0.30898916721343994,9.634821891784668
34,64928,,8.372636795043945,-0.43217694759368896,9.634821891784668
35,64938,,5.381125450134277,-0.37084224820137024,8.480440139770508
36,64948,,2.748955726623535,-0.33922895789146423,6.998159408569336
37,64958,,1.051072120666504,-0.1862093210220337,5.533845901489258
38,64968,,-0.008984565734863281,-0.18543264269828796,4.186318397521973
39,64978,,-1.2217588424682617,-0.21704593300819397,2.6905627250671387
40,64988,,-2.6770877838134766,-0.30816650390625,1.3744778633117676
41,64998,,-4.069533348083496,-0.21704593300819397,0.525536060333252
42,65008,,-5.479945659637451,-0.18756486475467682,-0.004492282867431641
43,65018,,-6.998159408569336,-0.09472325444221497,-0.6108794212341309
44,65028,,-8.139066696166992,-0.1560462862253189,-1.3385438919067383
45,65038,,-8.237884521484375,-0.1560462862253189,-2.034766674041748
46,65048,,-7.734808444976807,-0.1560462862253189,-2.7399728298187256
47,65058,,-6.9712090492248535,-0.1264265924692154,-3.4317033290863037
48,65068,,-7.447335720062256,-0.12534067034721375,-3.552980899810791
49,65078,,-8.399588584899902,-0.003861457109451294,-3.723667860031128
50,65088,,-8.471456527709961,-0.003861457109451294,-3.8674042224884033
51,65098,,-7.267665386199951,0.058241575956344604,-3.9033381938934326
52,65108,,-6.018956184387207,0.058241575956344604,-3.9033381938934326
53,65118,,-5.740467071533203,0.05832642316818237,-3.777569055557251
54,65128,,-6.45914888381958,0.11978045105934143,-3.629340887069702
55,65138,,-7.465302467346191,0.1513926088809967,-3.629340887069702
56,65148,,-8.749945640563965,0.1811453402042389,-3.7326512336730957
57,65158,,-9.558462142944336,0.1811453402042389,-3.777568817138672
58,65168,,-9.549478530883789,0.24123576283454895,-3.777568817138672
59,65178,,-9.037418365478516,0.21161702275276184,-3.777568817138672
60,65188,,-8.480440139770508,0.21058037877082825,-4.240220069885254
61,65198,,-8.291786193847656,0.20962360501289368,-4.240220069885254
62,65208,,-8.920632362365723,0.15042102336883545,-4.374972820281982
63,65218,,-9.603379249572754,0.15042102336883545,-4.460316181182861
64,65228,,-9.68423080444336,0.11984550952911377,-4.518709182739258
65,65238,,-9.414725303649902,0.15042102336883545,-4.707362651824951
66,65248,,-8.911648750305176,0.3025839924812317,-4.523200988769531
67,65258,,-8.489423751831055,0.21178394556045532,-4.473791122436523
68,65268,,-8.18398380279541,0.18120843172073364,-4.437857627868652
69,65278,,-8.731979370117188,0.1803845763206482,-4.455824375152588
70,65288,,-10.160358428955078,0.2721394896507263,-4.5052337646484375
71,65298,,-12.540989875793457,0.2721952795982361,-4.707362651824951
72,65308,,-13.870550155639648,0.2730523943901062,-4.707362651824951
73,65318,,-14.337692260742188,0.24157261848449707,-4.707362651824951
74,65328,,-14.211923599243164,0.05767175555229187,-5.080179214477539
75,65338,,-13.205769538879395,0.08910015225410461,-6.2704949378967285
76,65348,,-11.274312973022461,0.11967495083808899,-6.2704949378967285
77,65358,,-9.378791809082031,0.1494257152080536,-6.2704949378967285
78,65368,,-7.860577583312988,0.1494257152080536,-6.2704949378967285
79,65378,,-6.962225437164307,0.1494257152080536,-6.2704949378967285
80,65388,,-6.414230823516846,0.15019646286964417,-5.6371564865112305
81,65398,,-5.767418384552002,0.11967495083808899,-4.689395904541016
82,65408,,-5.174505710601807,0.15019646286964417,-3.930288791656494
83,65418,,-4.249202728271484,0.21078655123710632,-3.4811127185821533
