,ts,Ax,Ay,Az
282,220724,2,0,0
283,220734,2,0,0
284,220744,2,0,0
285,220754,2,0,0
286,220764,2,0,0
287,220774,2,0,0
288,220784,1,0,0
289,220794,1,0,0
290,220804,2,-1,0
291,220814,2,-1,0
292,220824,2,-1,0
293,220834,2,0,0
294,220844,2,-1,0
295,220854,1,0,0
296,220864,2,0,0
297,220874,2,0,0
298,220884,2,0,0
299,220894,2,0,0
300,220904,2,0,0
301,220914,2,0,0
302,220924,2,-1,0
303,220934,2,-1,0
304,220944,2,-1,0
305,220954,2,-1,0
306,220964,2,-1,0
307,220974,1,-1,0
308,220984,1,0,0
309,220994,2,0,0
310,221004,2,0,0
311,221014,2,0,0
312,221024,2,1,0
313,221034,2,0,0
314,221044,1,0,0
315,221054,1,0,0
316,221064,2,-1,0
317,221074,2,0,0
318,221084,2,-1,0
319,221094,2,0,0
320,221104,2,-1,0
321,221114,2,0,0
322,221124,2,0,0
323,221134,1,0,0
324,221144,2,0,0
325,221154,2,1,0
326,221164,2,0,0
327,221174,2,0,0
328,221184,2,0,0
329,221194,1,0,0
330,221204,2,0,0
331,221214,2,0,0
332,221224,2,0,0
333,221234,2,0,0
334,221244,2,-1,0
335,221254,2,0,0
336,221264,2,0,0
337,221274,2,1,0
338,221284,2,-1,0
339,221294,2,1,0
340,221304,2,0,0
341,221314,2,0,0
342,221324,2,-1,0
343,221334,2,0,0
344,221344,2,0,0
345,221354,2,0,0
346,221364,2,0,0
347,221374,2,0,0
348,221384,2,-1,0
349,221394,2,0,0
350,221404,1,0,0
351,221414,2,0,0
352,221424,2,0,0
353,221434,2,0,0
354,221444,2,0,0
355,221454,2,-1,0
356,221464,2,0,0
357,221474,1,-1,0
358,221484,2,0,0
359,221494,2,0,0
360,221504,1,0,0
361,221514,1,0,0
362,221524,1,0,0
363,221534,2,0,0
364,221544,2,0,0
365,221554,2,0,0
366,221564,2,0,0
367,221574,2,-1,0
368,221584,2,-1,0
369,221594,1,0,0
370,221604,2,0,0
371,221614,2,0,0
372,221624,2,0,0
373,221634,2,0,0
374,221644,2,0,0
375,221654,2,0,0
376,221664,2,-1,0
377,221674,2,0,0
378,221684,2,0,0
379,221694,2,0,0
380,221704,2,-1,0
381,221714,2,0,0
382,221724,1,-1,0
383,221734,2,0,0
384,221744,2,0,0
385,221754,2,0,0
386,221764,2,0,0
387,221774,2,0,0
388,221784,2,0,0
389,221794,2,0,0
390,221804,2,0,0
391,221814,2,0,0
392,221824,2,0,0
393,221834,2,-1,0
394,221844,2,0,0
395,221854,2,-1,0
396,221864,2,0,0
397,221874,2,0,0
398,221884,2,0,0
399,221894,2,1,0
400,221904,2,-1,0
401,221914,2,-1,0
402,221924,2,0,0
403,221934,2,-1,0
404,221944,2,0,0
405,221954,2,0,0
406,221964,2,0,0
407,221974,2,0,0
408,221984,2,0,0
409,221994,2,-1,0
410,222004,2,0,0
411,222014,2,0,0
412,222024,2,0,0
413,222034,1,0,0
414,222044,2,0,0
415,222054,2,0,0
416,222064,2,-1,0
417,222074,2,0,0
418,222084,1,0,0
419,222094,2,0,0
420,222104,2,0,0
421,222114,2,0,0
422,222124,2,0,0
423,222134,2,0,0
424,222144,2,0,0
425,222154,2,0,0
426,222164,2,0,0
427,222174,2,0,0
428,222184,2,0,0
429,222194,2,-1,0
430,222204,2,0,0
431,222214,2,-1,0
432,222224,2,0,0
433,222234,2,-1,0
434,222244,2,0,0
435,222254,2,-1,0
436,222264,2,1,0
437,222274,2,-1,0
438,222284,2,1,0
439,222294,2,-1,0
440,222304,2,0,0
441,222314,2,0,0
442,222324,2,0,0
443,222334,2,0,0
444,222344,2,-1,0
445,222354,2,0,0
446,222364,2,-1,0
447,222374,2,0,0
448,222384,2,-1,0
449,222394,2,0,0
450,222404,2,0,0
451,222414,2,0,0
452,222424,2,-1,0
453,222434,2,0,0
454,222444,2,0,0
455,222454,2,0,0
456,222464,2,-1,0
457,222474,2,0,0
458,222484,2,-1,0
459,222494,2,0,0
460,222504,2,0,0
461,222514,2,-1,0
462,222524,2,0,0
463,222534,2,-1,0
464,222544,2,0,0
465,222554,2,-1,0
466,222564,2,1,0
467,222574,2,-1,0
468,222584,2,1,0
469,222594,2,-1,0
470,222604,2,0,0
471,222614,2,-1,0
472,222624,2,0,0
473,222634,2,0,0
474,222644,2,0,0
475,222654,2,0,0
476,222664,2,-1,0
477,222674,2,0,0
478,222684,2,0,0
479,222694,2,0,0
480,222704,2,-1,0
481,222714,2,0,0
482,222724,2,0,0
483,222734,2,0,0
484,222744,2,0,0
485,222754,2,-1,0
486,222764,2,0,0
487,222774,2,-1,0
488,222784,2,0,0
489,222794,2,0,0
490,222804,1,0,0
491,222814,1,0,0
492,222824,2,0,0
493,222834,2,-1,0
494,222844,2,0,0
495,222854,2,0,0
496,222864,2,0,0
497,222874,2,0,0
498,222884,2,0,0
499,222894,2,0,0
500,222904,2,0,0
501,222914,2,0,0
502,222924,2,0,0
503,222934,2,0,0
504,222944,2,-1,0
505,222954,2,0,0
506,222964,2,0,0
507,222974,2,1,0
508,222984,2,0,0
509,222994,2,0,0
510,223004,1,0,0
511,223014,2,0,0
512,223024,2,0,0
513,223034,2,0,0
514,223044,2,-1,0
515,223054,2,0,0
516,223064,2,0,0
517,223074,1,-1,0
518,223084,2,-1,0
519,223094,2,0,0
520,223104,1,0,0
521,223114,2,0,0
522,223124,2,0,0
523,223134,1,0,0
524,223144,1,0,0
525,223154,2,0,0
526,223164,2,0,0
527,223174,2,0,0
528,223184,2,-1,0
529,223194,2,0,0
530,223204,2,-1,0
531,223214,2,0,0
532,223224,1,0,0
533,223234,2,0,0
534,223244,2,0,0
535,223254,2,0,0
536,223264,2,0,0
537,223274,2,0,0
538,223284,1,0,0
539,223294,2,0,0
540,223304,2,0,0
541,223314,2,0,0
542,223324,2,0,0
543,223334,2,0,0
544,223344,2,0,0
545,223354,1,0,0
546,223364,1,0,0
547,223374,2,0,0
548,223384,2,-1,0
549,223394,2,0,0
550,223404,2,0,0
551,223414,2,0,0
552,223424,2,0,0
553,223434,2,0,0
554,223444,2,-1,0
555,223454,2,0,0
556,223464,2,-1,0
557,223474,2,0,0
558,223484,2,0,0
559,223494,2,0,0
560,223504,2,0,0
561,223514,2,0,0
562,223524,2,0,0
563,223534,2,-1,0
564,223544,2,0,0
565,223554,2,-1,0
566,223564,2,0,0
567,223574,2,-1,0
568,223584,2,-1,0
569,223594,2,-1,0
570,223604,2,0,0
571,223614,2,0,0
572,223624,2,0,0
573,223634,2,0,0
574,223644,2,0,0
575,223654,2,0,0
576,223664,2,0,0
577,223674,2,0,0
578,223684,2,0,0
579,223694,2,0,0
580,223704,2,0,0
581,223714,2,0,0
582,223724,2,-1,0
583,223734,1,0,0
584,223744,1,0,0
585,223754,2,0,0
586,223764,2,1,0
587,223774,2,0,0
588,223784,2,1,0
589,223794,2,0,0
590,223804,1,0,0
591,223814,2,-1,0
592,223824,2,-1,0
593,223834,2,-1,0
594,223844,2,0,0
595,223854,1,-1,0
596,223864,1,0,0
597,223874,2,-1,0
598,223884,2,0,0
599,223894,2,0,0
600,223904,2,0,0
601,223914,2,0,0
602,223924,2,0,0
603,223934,2,-1,0
604,223944,2,0,0
605,223954,2,-1,0
606,223964,2,-1,0
607,223974,2,-1,0
608,223984,2,-1,0
609,223994,1,0,0
610,224004,2,0,0
611,224014,2,0,0
612,224024,2,0,0
613,224034,2,0,0
614,224044,2,0,0
615,224054,2,-1,0
616,224064,2,-1,0
617,224074,2,-1,0
618,224084,2,-1,0
619,224094,2,0,0
620,224104,2,-1,0
621,224114,1,0,0
622,224124,2,0,0
623,224134,2,0,0
624,224144,2,1,0
625,224154,1,0,0
626,224164,2,0,0
627,224174,2,-1,0
628,224184,2,-1,0
629,224194,2,0,0
630,224204,2,0,0
631,224214,2,0,0
632,224224,2,-1,0
633,224234,2,0,0
634,224244,1,0,0
635,224254,2,1,0
636,224264,2,0,0
637,224274,2,0,0
638,224284,2,0,0
639,224294,2,0,0
640,224304,2,0,0
641,224314,2,0,0
642,224324,2,0,0
643,224334,2,-1,0
644,224344,2,0,0
645,224354,1,0,0
646,224364,2,0,0
647,224374,2,0,0
648,224384,2,0,0
649,224394,2,1,0
650,224404,2,0,0
651,224414,2,0,0
652,224424,2,0,0
653,224434,2,0,0
654,224444,2,-1,0
655,224454,2,-1,0
656,224464,2,0,0
657,224474,2,-1,0
658,224484,1,0,0
659,224494,2,0,0
660,224504,2,0,0
661,224514,2,0,0
662,224524,2,0,0
663,224534,2,0,0
664,224544,2,-1,0
665,224554,2,-1,0
666,224564,2,0,0
667,224574,2,-1,0
668,224584,2,-1,0
669,224594,2,-1,0
670,224604,2,-1,0
671,224614,1,-1,0
672,224624,1,0,0
673,224634,2,0,0
674,224644,2,0,0
675,224654,2,1,0
676,224664,2,-1,0
677,224674,1,0,0
678,224684,2,0,0
679,224694,2,0,0
680,224704,2,0,0
681,224714,2,-1,0
682,224724,2,-1,0
683,224734,2,0,0
684,224744,1,-1,0
685,224754,2,0,0
686,224764,2,0,0
687,224774,2,0,0
688,224784,2,1,0
689,224794,2,0,0
690,224804,2,0,0
691,224814,2,0,0
692,224824,2,0,0
693,224834,2,0,0
694,224844,2,0,0
695,224854,1,-1,0
696,224864,2,0,0
697,224874,1,0,0
698,224884,2,1,0
699,224894,2,0,0
700,224904,2,1,0
701,224914,2,0,0
702,224924,2,0,0
703,224934,1,-1,0
704,224944,2,0,0
705,224954,2,0,0
706,224964,2,-1,0
707,224974,2,-1,0
708,224984,2,0,0
709,224994,2,0,0
710,225004,2,0,0
711,225014,2,0,0
712,225024,2,0,0
713,225034,2,0,0
714,225044,2,0,0
715,225054,2,0,0
716,225064,2,0,0
717,225074,2,0,0
718,225084,2,0,0
719,225094,2,-1,0
720,225104,2,-1,0
721,225114,2,-1,0
722,225124,2,0,0
723,225134,2,-1,0
724,225144,2,0,0
725,225154,2,0,0
726,225164,2,0,0
727,225174,2,0,0
728,225184,2,0,0
729,225194,1,-1,0
730,225204,2,-1,0
731,225214,2,-1,0
732,225224,2,-1,0
733,225234,2,0,0
734,225244,2,0,0
735,225254,1,0,0
736,225264,1,-1,0
737,225274,2,0,0
738,225284,2,0,0
739,225294,2,0,0
740,225304,2,0,0
741,225314,2,0,0
742,225324,2,0,0
743,225334,2,0,0
744,225344,2,0,0
745,225354,2,-1,0
746,225364,2,0,0
747,225374,1,0,0
748,225384,2,0,0
749,225394,2,0,0
750,225404,2,-1,0
751,225414,2,0,0
752,225424,2,-1,0
753,225434,2,0,0
754,225444,2,0,0
755,225454,2,1,0
756,225464,2,-1,0
757,225474,2,0,0
758,225484,2,0,0
759,225494,2,0,0
760,225504,2,0,0
761,225514,2,0,0
762,225524,2,0,0
763,225534,2,-1,0
764,225544,2,-1,0
765,225554,2,-1,0
766,225564,2,0,0
767,225574,2,0,0
768,225584,2,0,0
769,225594,2,0,0
770,225604,2,-1,0
771,225614,2,0,0
772,225624,2,-1,0
773,225634,2,0,0
774,225644,2,-1,0
775,225654,2,0,0
776,225664,2,0,0
777,225674,2,0,0
778,225684,1,0,0
779,225694,2,-1,0
780,225704,2,0,0
781,225714,1,0,0
782,225724,2,-1,0
783,225734,2,0,0
784,225744,2,-1,0
785,225754,2,0,0
786,225764,2,-1,0
787,225774,2,0,0
788,225784,2,-1,0
789,225794,1,0,0
790,225804,1,-1,0
791,225814,1,0,0
792,225824,2,0,0
793,225834,2,0,0
794,225844,2,0,0
795,225854,2,-1,0
796,225864,2,0,0
797,225874,2,-1,0
798,225884,1,0,0
799,225894,2,0,0
800,225904,2,0,0
801,225914,2,-1,0
802,225924,2,0,0
803,225934,2,0,0
804,225944,2,0,0
805,225954,2,0,0
806,225964,2,0,0
807,225974,2,0,0
808,225984,2,0,0
809,225994,2,1,0
810,226004,2,-1,0
811,226014,2,0,0
812,226024,2,0,0
813,226034,2,0,0
814,226044,2,0,0
815,226054,2,0,0
816,226064,1,-1,0
817,226074,2,0,0
818,226084,2,-1,0
819,226094,2,0,0
820,226104,2,0,0
