,ts,filtered_altitude_AGL,filtered_acceleration
0,217905,825.33642578125,0.0
1,217915,825.33642578125,0.0
2,217925,825.33642578125,0.0
3,217935,825.33642578125,0.0
4,217945,825.33642578125,0.0
5,217955,825.5822143554688,0.0
6,217965,825.5822143554688,0.0
7,217975,826.14501953125,0.0
8,217985,827.1279296875,0.0
9,217995,827.1279296875,0.0
10,218005,828.427978515625,0.0
11,218015,827.1279296875,0.0
12,218025,827.1279296875,0.0
13,218035,827.1279296875,0.0
14,218045,826.14501953125,0.0
15,218055,826.039306640625,0.0
16,218065,826.039306640625,0.0
17,218075,826.039306640625,0.0
18,218085,826.039306640625,0.0
19,218095,825.8279418945312,0.0
20,218105,825.8279418945312,0.0
21,218115,825.8279418945312,0.0
22,218125,826.9879150390625,0.0
23,218135,827.830810546875,0.0
24,218145,828.1822509765625,0.0
25,218155,827.830810546875,0.0
26,218165,826.9879150390625,0.0
27,218175,826.14501953125,0.0
28,218185,827.830810546875,0.0
29,218195,828.1822509765625,0.0
30,218205,828.4993286132812,0.0
31,218215,829.622314453125,0.0
32,218225,828.4993286132812,0.0
33,218235,828.2166137695312,0.0
34,218245,829.622314453125,0.0
35,218255,829.622314453125,0.0
36,218265,830.0794067382812,0.0
37,218275,830.0794067382812,0.0
38,218285,829.622314453125,0.0
39,218295,829.3422241210938,0.0
40,218305,828.2166137695312,0.0
41,218315,828.2166137695312,0.0
42,218325,829.3422241210938,0.0
43,218335,829.3422241210938,0.0
44,218345,830.0794067382812,0.0
45,218355,831.202392578125,0.0
46,218365,830.4652099609375,0.0
47,218375,830.4652099609375,0.0
48,218385,831.202392578125,0.0
49,218395,831.8366088867188,0.0
50,218405,831.8366088867188,0.0
51,218415,831.8366088867188,0.0
52,218425,831.8366088867188,0.0
53,218435,831.3450927734375,0.0
54,218445,830.7822875976562,0.0
55,218455,830.7822875976562,0.0
56,218465,831.3450927734375,0.0
57,218475,831.3450927734375,0.0
58,218485,831.3450927734375,0.0
59,218495,831.3794555664062,0.0
60,218505,831.3794555664062,0.0
61,218515,831.3794555664062,0.0
62,218525,831.413818359375,0.0
63,218535,832.7138671875,0.0
64,218545,832.7138671875,0.0
65,218555,833.1022338867188,0.0
66,218565,832.7138671875,0.0
67,218575,831.413818359375,0.0
