,ts,Ax,Ay,Az
0,3513211,2,0,0
1,3513221,2,-1,0
2,3513231,2,0,0
3,3513241,3,0,0
4,3513251,2,0,0
5,3513261,3,0,0
6,3513271,3,0,0
7,3513281,3,-1,0
8,3513291,3,-1,0
9,3513301,3,0,0
10,3513311,3,-1,0
11,3513321,3,0,0
12,3513331,4,-1,0
13,3513341,4,0,0
14,3513351,4,0,0
15,3513361,4,0,0
16,3513371,4,-1,0
17,3513381,4,0,0
18,3513391,4,-1,0
19,3513401,4,0,0
20,3513411,4,0,0
21,3513421,4,0,0
22,3513431,5,-1,0
23,3513441,5,0,0
24,3513451,5,0,0
25,3513461,5,0,0
26,3513471,5,0,0
27,3513481,5,0,0
28,3513491,5,-1,0
29,3513501,5,0,0
30,3513511,5,0,0
31,3513521,6,0,0
32,3513531,5,0,0
33,3513541,6,0,0
34,3513551,6,-1,0
35,3513561,6,0,0
36,3513571,6,0,0
37,3513581,6,0,0
38,3513591,6,0,0
39,3513601,6,0,0
40,3513611,7,-1,0
41,3513621,7,-1,0
42,3513631,7,0,0
43,3513641,7,0,0
44,3513651,7,1,0
45,3513661,7,-1,0
46,3513671,7,-1,0
47,3513681,7,-1,0
48,3513691,7,0,0
49,3513701,7,1,0
50,3513711,7,-1,0
51,3513721,7,-1,0
52,3513731,7,0,0
53,3513741,8,0,0
54,3513751,8,-1,0
55,3513821,7,0,0
56,3513831,9,-1,0
57,3513841,8,0,0
58,3513851,9,0,0
59,3513861,8,0,0
60,3513871,9,-2,0
61,3513881,7,1,0
62,3513891,9,-1,0
63,3513901,8,2,0
64,3513911,10,-3,0
65,3513921,8,1,0
66,3513931,10,-1,0
67,3513941,8,1,0
68,3513951,9,-1,0
69,3513961,9,1,0
70,3513971,9,1,0
71,3513981,9,-1,0
72,3513991,9,1,0
73,3514001,9,-1,0
74,3514011,10,-1,0
75,3514021,9,1,0
76,3514031,10,-1,0
77,3514041,8,1,0
78,3514051,11,-1,0
79,3514061,8,0,0
80,3514071,11,-1,0
81,3514081,8,0,0
82,3514091,11,0,0
83,3514101,9,0,0
84,3514111,9,0,0
85,3514121,10,-1,0
86,3514131,8,0,0
87,3514141,11,-1,0
88,3514151,8,0,0
89,3514161,11,-1,0
90,3514171,9,1,0
91,3514181,11,-1,0
92,3514191,9,1,0
93,3514201,10,-1,0
94,3514211,10,0,0
95,3514221,9,-1,0
96,3514231,11,0,0
97,3514241,9,0,0
98,3514251,11,0,0
99,3514261,8,0,0
100,3514271,11,-1,0
101,3514281,9,1,0
102,3514291,11,-1,0
103,3514301,9,0,0
104,3514311,10,-1,0
105,3514321,10,1,0
106,3514331,9,0,0
107,3514341,11,0,0
108,3514351,9,0,0
109,3514361,12,-1,0
110,3514371,8,0,0
111,3514381,11,-1,0
112,3514391,9,0,0
113,3514401,10,0,0
114,3514411,10,0,0
115,3514421,10,0,0
116,3514431,11,0,0
117,3514441,9,0,0
118,3514451,12,-1,0
119,3514461,9,0,0
120,3514471,11,0,0
121,3514481,10,-1,0
122,3514491,10,1,0
123,3514501,10,-1,0
124,3514511,11,0,0
125,3514521,9,-1,0
126,3514531,12,-1,0
127,3514541,9,0,0
128,3514551,12,-1,0
129,3514561,9,0,0
130,3514571,11,0,0
131,3514581,10,0,0
132,3514591,10,-1,0
133,3514601,11,-1,0
134,3514611,9,0,0
135,3514621,12,0,0
136,3514631,9,0,0
137,3514641,12,0,0
138,3514651,9,0,0
139,3514661,10,-1,0
140,3514671,10,-1,0
141,3514681,10,0,0
142,3514691,11,0,0
143,3514701,9,0,0
144,3514711,12,0,0
145,3514721,8,1,0
146,3514731,11,-1,0
147,3514741,9,0,0
148,3514751,11,-1,0
149,3514761,11,0,0
150,3514771,10,0,0
151,3514781,12,0,0
152,3514791,9,0,0
153,3514801,12,-1,0
154,3514811,9,0,0
155,3514821,11,-1,0
156,3514831,10,0,0
157,3514841,10,-1,0
158,3514851,11,0,0
159,3514861,9,0,0
160,3514871,12,0,0
161,3514881,8,0,0
162,3514891,12,-1,0
163,3514901,9,0,0
164,3514911,11,0,0
165,3514921,10,0,0
166,3514931,10,0,0
167,3514941,12,0,0
168,3514951,9,0,0
169,3514961,12,-1,0
170,3514971,10,-1,0
171,3514981,10,0,0
172,3514991,11,0,0
173,3515001,11,0,0
174,3515011,10,-1,0
175,3515021,12,0,0
176,3515031,9,0,0
177,3515041,12,-1,0
178,3515051,9,0,0
179,3515061,10,-1,0
180,3515071,11,-1,0
181,3515081,9,0,0
182,3515091,12,0,0
183,3515101,9,0,0
184,3515111,12,-1,0
185,3515121,9,0,0
186,3515131,11,-1,0
187,3515141,11,0,0
188,3515151,9,0,0
189,3515161,12,-1,0
190,3515171,9,0,0
191,3515181,11,0,0
192,3515191,10,0,0
193,3515201,10,-1,0
194,3515211,11,0,0
195,3515221,9,0,0
196,3515231,12,-1,0
197,3515241,9,0,0
198,3515251,11,-1,0
199,3515261,10,0,0
200,3515271,10,-1,0
201,3515281,12,0,0
202,3515291,8,0,0
203,3515301,11,0,0
204,3515311,9,0,0
205,3515321,10,-1,0
206,3515331,11,0,0
207,3515341,9,0,0
208,3515351,12,0,0
209,3515361,9,0,0
210,3515371,11,0,0
211,3515381,10,0,0
212,3515391,10,0,0
213,3515401,11,-1,0
214,3515411,9,0,0
215,3515421,12,0,0
216,3515431,9,0,0
217,3515441,11,0,0
218,3515451,10,0,0
219,3515461,9,-1,0
220,3515471,12,-1,0
221,3515481,8,-1,0
222,3515491,11,0,0
223,3515501,11,0,0
224,3515511,9,0,0
225,3515521,10,0,0
226,3515531,11,0,0
227,3515541,9,0,0
228,3515551,12,-1,0
229,3515561,9,0,0
230,3515571,11,-1,0
231,3515581,10,0,0
232,3515591,10,0,0
233,3515601,11,0,0
234,3515611,9,0,0
235,3515621,11,0,0
236,3515631,9,0,0
237,3515641,11,-1,0
238,3515651,10,0,0
239,3515661,9,0,0
240,3515671,12,0,0
241,3515681,8,0,0
242,3515691,11,-1,0
243,3515701,10,0,0
244,3515711,10,-1,0
245,3515721,11,0,0
246,3515731,9,0,0
247,3515741,11,-1,0
248,3515751,9,0,0
249,3515761,10,-1,0
250,3515771,11,-1,0
251,3515781,9,0,0
252,3515791,11,0,0
253,3515801,9,0,0
254,3515811,10,-1,0
255,3515821,11,0,0
256,3515831,9,0,0
257,3515841,12,-1,0
258,3515851,9,0,0
259,3515861,10,0,0
260,3515871,10,0,0
261,3515881,9,0,0
262,3515891,11,0,0
263,3515901,9,0,0
264,3515911,10,-1,0
265,3515921,10,-1,0
266,3515931,9,0,0
267,3515941,11,-1,0
268,3515951,9,0,0
269,3515961,10,0,0
270,3515971,10,0,0
271,3515981,9,0,0
272,3515991,11,-1,0
273,3516001,11,-1,0
274,3516011,9,-1,0
275,3516021,10,-1,0
276,3516031,10,0,0
277,3516041,9,0,0
278,3516051,11,-1,0
279,3516061,9,0,0
280,3516071,10,-1,0
281,3516081,11,-1,0
282,3516091,9,0,0
283,3516101,11,-1,0
284,3516111,10,0,0
285,3516121,9,0,0
286,3516131,11,-1,0
287,3516141,9,0,0
288,3516151,10,0,0
289,3516161,10,0,0
290,3516171,9,0,0
291,3516181,11,-1,0
292,3516191,9,0,0
293,3516201,9,-1,0
294,3516211,11,0,0
295,3516221,9,0,0
296,3516231,10,-1,0
297,3516241,10,0,0
298,3516251,9,-1,0
299,3516261,11,-1,0
300,3516271,9,0,0
301,3516281,10,0,0
302,3516291,11,-1,0
303,3516301,9,0,0
304,3516311,10,-1,0
305,3516321,10,0,0
306,3516331,9,0,0
307,3516341,11,-1,0
308,3516351,9,0,0
309,3516361,10,0,0
310,3516371,11,-1,0
311,3516381,9,0,0
312,3516391,10,0,0
313,3516401,10,-1,0
314,3516411,9,-1,0
315,3516421,11,-1,0
316,3516431,10,0,0
317,3516441,9,-1,0
318,3516451,11,-1,0
319,3516461,9,-1,0
320,3516471,9,-1,0
321,3516481,11,-1,0
322,3516491,9,-1,0
323,3516501,9,0,0
324,3516511,10,-1,0
325,3516521,10,-1,0
326,3516531,9,0,0
327,3516541,11,-1,0
328,3516551,10,0,0
329,3516561,9,0,0
330,3516571,11,-1,0
331,3516581,9,0,0
332,3516591,9,0,0
333,3516601,10,-1,0
334,3516611,8,0,0
335,3516621,10,-1,0
336,3516631,10,0,0
337,3516641,9,-1,0
338,3516651,10,-1,0
339,3516661,9,0,0
340,3516671,9,0,0
341,3516681,10,-1,0
342,3516691,9,0,0
343,3516701,10,-1,0
344,3516711,10,-1,0
345,3516721,9,0,0
346,3516731,11,-1,0
347,3516741,9,0,0
348,3516751,9,0,0
349,3516761,11,0,0
350,3516771,9,0,0
