,ts,error
354,3647191,12304
355,3649061,4112
356,3649151,12304
357,3649371,4112
358,3649461,12304
359,3651161,4112
360,3651251,12304
361,3651351,4112
362,3651441,12304
363,3651641,4112
364,3651861,12304
365,3651921,4112
366,3652071,12304
367,3652231,4112
368,3652321,12304
369,3652401,4112
370,3652671,12304
371,3652721,4112
372,3653661,12304
373,3653871,4112
374,3653981,12304
375,3654071,4112
376,3654211,12304
377,3654271,4112
378,3654481,12304
379,3654741,4112
380,3654981,12304
381,3655131,4112
382,3655221,12304
383,3655391,4112
384,3655481,12304
385,3657141,4112
386,3657461,12304
387,3657571,4112
388,3657661,12304
389,3657751,4112
390,3657841,12304
391,3657881,4112
392,3657971,12304
393,3658681,4112
394,3658771,12304
395,3658911,4112
396,3659001,12304
397,3659481,4112
398,3659811,12304
399,3660051,4112
400,3660141,12304
401,3660201,4112
402,3661061,12304
403,3661111,4112
404,3661201,12304
405,3661451,4112
406,3661541,12304
407,3662021,4112
408,3662221,12304
409,3662241,4112
410,3662341,12304
411,3662381,4112
412,3662881,12304
413,3663051,4112
414,3663311,12304
415,3664221,4112
416,3664311,12304
417,3664331,4112
418,3664451,12304
419,3664841,4112
420,3665151,12304
421,3666001,4112
422,3666091,12304
423,3666161,4112
424,3666401,12304
425,3666741,4112
426,3667131,12304
427,3667221,4112
428,3667311,12304
429,3667321,4112
430,3667501,12304
431,3667651,4112
432,3667741,12304
433,3667761,4112
434,3668171,12304
435,3669591,4112
436,3669681,12304
437,3669851,4112
438,3670011,12304
439,3670181,4112
440,3670501,12304
441,3670511,4112
442,3671011,12304
443,3671801,4112
444,3671891,12304
445,3672511,4112
446,3672681,12304
447,3672801,4112
448,3672901,12304
449,3673131,4112
450,3673271,12304
451,3674031,4112
452,3674121,12304
453,3674221,4112
454,3674311,12304
455,3674621,4112
456,3674711,12304
457,3674791,4112
458,3674881,12304
459,3674931,4112
460,3675341,12304
461,3675771,4112
462,3675861,12304
463,3676341,4112
464,3676821,12304
465,3677201,4112
466,3677351,12304
467,3677391,4112
468,3677571,12304
469,3677601,4112
