,ts,filtered_altitude_AGL,filtered_acceleration
0,3513212,4.08238410949707,1.4218082427978516
1,3513222,4.116734027862549,1.8830633163452148
2,3513232,4.2144999504089355,2.377605438232422
3,3513242,4.2144999504089355,2.829350471496582
4,3513252,4.2144999504089355,3.4570388793945312
5,3513262,4.2144999504089355,4.00864315032959
6,3513272,4.2462077140808105,4.512696266174316
7,3513282,4.2144999504089355,4.997727394104004
8,3513292,4.180149555206299,5.592128753662109
9,3513302,4.2144999504089355,6.229327201843262
10,3513312,4.2462077140808105,6.94736385345459
11,3513322,4.280558109283447,7.584561347961426
12,3513332,4.280558109283447,8.445256233215332
13,3513342,4.312265396118164,9.301192283630371
14,3513352,4.312265396118164,10.100068092346191
15,3513362,4.410031318664551,11.093907356262207
16,3513372,4.769387245178223,12.05921459197998
17,3513382,4.835444927215576,12.919909477233887
18,3513392,4.769387245178223,13.970810890197754
19,3513402,4.5077972412109375,14.931361198425293
20,3513412,4.5077972412109375,15.830098152160645
21,3513422,4.5077972412109375,16.690792083740234
22,3513432,4.410031318664551,17.465892791748047
23,3513442,4.410031318664551,18.30756378173828
24,3513452,4.410031318664551,19.272869110107422
25,3513462,4.410031318664551,20.133563995361328
26,3513472,4.343973636627197,21.037052154541016
27,3513482,4.343973636627197,22.011871337890625
28,3513492,4.410031318664551,22.972423553466797
29,3513502,4.410031318664551,23.69521713256836
30,3513512,4.637270927429199,24.651016235351562
31,3513522,4.671621322631836,25.445133209228516
32,3513532,4.671621322631836,26.339115142822266
33,3513542,5.19480037689209,27.280643463134766
34,3513552,4.671621322631836,28.093788146972656
35,3513562,4.671621322631836,28.897418975830078
36,3513572,4.5077972412109375,29.67251968383789
37,3513582,4.5077972412109375,30.257408142089844
38,3513592,4.671621322631836,30.87558364868164
39,3513602,4.671621322631836,31.503273010253906
40,3513612,5.258216381072998,32.216552734375
41,3513622,5.390332221984863,32.744384765625
42,3513632,5.390332221984863,33.43864440917969
43,3513642,6.175101280212402,34.07108688354492
44,3513652,6.241159439086914,34.98884201049805
45,3513662,6.241159439086914,36.486732482910156
46,3513672,6.370632648468018,37.589942932128906
47,3513682,6.370632648468018,38.57426834106445
48,3513692,6.241159439086914,39.61090850830078
49,3513702,6.241159439086914,39.7725830078125
50,3513712,6.370632648468018,40.15775680541992
51,3513722,5.554156303405762,40.70460510253906
52,3513732,5.554156303405762,40.909080505371094
53,3513742,5.554156303405762,41.49396896362305
54,3513752,6.991577625274658,41.574806213378906
55,3513822,7.089343547821045,44.684715270996094
56,3513832,7.284875392913818,46.097015380859375
57,3513842,7.284875392913818,46.32051086425781
58,3513852,7.480406761169434,46.705684661865234
59,3513862,8.724939346313477,47.07658767700195
60,3513872,10.717248916625977,47.63294982910156
61,3513882,10.849364280700684,48.68860626220703
62,3513892,10.849364280700684,49.715728759765625
63,3513902,10.849364280700684,49.81083297729492
64,3513912,10.849364280700684,50.514610290527344
65,3513922,11.599783897399902,50.54789352416992
66,3513932,11.895722389221191,51.075721740722656
67,3513942,11.599783897399902,51.418094635009766
68,3513952,11.599783897399902,52.3786506652832
69,3513962,11.599783897399902,52.54032516479492
70,3513972,11.959138870239258,53.334449768066406
71,3513982,11.959138870239258,53.71961975097656
72,3513992,12.059547424316406,54.152339935302734
73,3514002,12.418902397155762,54.627864837646484
74,3514012,12.418902397155762,54.932193756103516
75,3514022,12.973790168762207,55.57890701293945
76,3514032,12.973790168762207,55.68827438354492
77,3514042,13.46526050567627,56.087711334228516
78,3514052,13.496968269348145,56.86281204223633
79,3514062,13.954090118408203,57.56657791137695
80,3514072,14.218321800231934,57.59035873413086
81,3514082,14.218321800231934,58.26559829711914
82,3514092,15.034798622131348,58.37496566772461
83,3514102,15.10085678100586,58.38447952270508
84,3514112,15.132564544677734,59.02167892456055
85,3514122,15.164273262023926,59.11203384399414
86,3514132,15.198622703552246,59.768253326416016
87,3514142,15.296388626098633,60.0392951965332
88,3514152,16.081157684326172,60.31509017944336
89,3514162,16.311038970947266,60.57187271118164
90,3514172,16.995399475097656,61.01887130737305
91,3514182,17.48687171936035,61.26613235473633
92,3514192,18.142166137695312,61.45158767700195
93,3514202,18.20822525024414,61.88907241821289
94,3514212,18.30599021911621,62.1173210144043
95,3514222,18.599287033081055,62.645145416259766
96,3514232,18.731403350830078,62.68794631958008
97,3514242,18.958642959594727,62.859134674072266
98,3514252,19.320640563964844,62.88766098022461
99,3514262,19.97329330444336,63.234798431396484
100,3514272,20.726354598999023,63.282352447509766
101,3514282,21.381650924682617,63.63424301147461
102,3514292,21.447708129882812,63.71030807495117
103,3514302,21.61153221130371,63.74361038208008
104,3514312,21.643239974975586,63.9243049621582
105,3514322,22.755657196044922,64.18583679199219
106,3514332,22.887773513793945,64.27143859863281
107,3514342,23.508718490600586,64.32374572753906
108,3514352,23.543067932128906,64.4236068725586
109,3514362,23.902421951293945,64.62332153320312
110,3514372,24.491661071777344,64.68989562988281
111,3514382,24.851016998291016,64.79926300048828
112,3514392,25.046546936035156,64.80877685546875
113,3514402,26.555313110351562,64.81828308105469
114,3514412,26.618728637695312,64.87535095214844
115,3514422,26.684785842895508,64.91814422607422
116,3514432,27.797203063964844,64.96569061279297
117,3514442,28.3547306060791,65.00849151611328
118,3514452,28.42078971862793,65.0560531616211
119,3514462,28.7801456451416,65.10359954833984
120,3514472,29.23990821838379,65.12737274169922
121,3514482,29.533206939697266,65.17967987060547
122,3514492,30.05902671813965,65.3651351928711
123,3514502,30.648265838623047,65.36988830566406
124,3514512,31.00762176513672,65.39842224121094
