,ts,mx,my,mz
0,22925,7.880181789398193,8.226449012756348,7.8361124992370605
1,22935,7.880181789398193,8.226449012756348,7.8361124992370605
2,22945,7.880181789398193,8.226449012756348,7.8361124992370605
3,22955,7.880181789398193,8.226449012756348,7.8361124992370605
4,22965,7.880181789398193,8.226449012756348,7.8361124992370605
5,22975,7.880181789398193,8.226449012756348,7.8361124992370605
6,22985,7.880181789398193,8.226449012756348,7.8361124992370605
7,22995,7.880181789398193,8.226449012756348,7.8361124992370605
8,23005,7.880181789398193,8.226449012756348,7.8361124992370605
9,23015,7.880181789398193,8.226449012756348,7.8361124992370605
10,23025,7.880181789398193,8.226449012756348,7.8361124992370605
11,23035,7.880181789398193,8.226449012756348,7.8361124992370605
12,23045,7.880181789398193,8.226449012756348,7.8361124992370605
13,23055,7.880181789398193,8.226449012756348,7.8361124992370605
14,23065,7.880181789398193,8.226449012756348,7.8361124992370605
15,23075,7.880181789398193,8.226449012756348,7.8361124992370605
16,23085,7.880181789398193,8.226449012756348,7.8361124992370605
17,23095,7.880181789398193,8.226449012756348,7.8361124992370605
18,23105,7.880181789398193,8.226449012756348,7.8361124992370605
19,23115,7.880181789398193,8.226449012756348,7.8361124992370605
20,23125,7.880181789398193,8.226449012756348,7.8361124992370605
21,23135,7.880181789398193,8.226449012756348,7.8361124992370605
22,23145,7.880181789398193,8.226449012756348,7.8361124992370605
23,23155,7.880181789398193,8.226449012756348,7.8361124992370605
24,23165,7.880181789398193,8.226449012756348,7.8361124992370605
25,23175,7.880181789398193,8.226449012756348,7.8361124992370605
26,23185,7.880181789398193,8.226449012756348,7.8361124992370605
27,23195,7.880181789398193,8.226449012756348,7.8361124992370605
28,23205,7.880181789398193,8.226449012756348,7.8361124992370605
29,23215,7.880181789398193,8.226449012756348,7.8361124992370605
30,23225,7.880181789398193,8.226449012756348,7.8361124992370605
31,23235,7.880181789398193,8.226449012756348,7.8361124992370605
32,23245,7.880181789398193,8.226449012756348,7.8361124992370605
33,23255,7.880181789398193,8.226449012756348,7.8361124992370605
34,23265,7.880181789398193,8.226449012756348,7.8361124992370605
35,23275,7.880181789398193,8.226449012756348,7.8361124992370605
36,23285,7.880181789398193,8.226449012756348,7.8361124992370605
37,23295,7.880181789398193,8.226449012756348,7.8361124992370605
38,23305,7.880181789398193,8.226449012756348,7.8361124992370605
39,23315,7.880181789398193,8.226449012756348,7.8361124992370605
40,23325,7.880181789398193,8.226449012756348,7.8361124992370605
41,23335,7.880181789398193,8.226449012756348,7.8361124992370605
42,23345,7.880181789398193,8.226449012756348,7.8361124992370605
43,23355,7.880181789398193,8.226449012756348,7.8361124992370605
44,23365,7.880181789398193,8.226449012756348,7.8361124992370605
45,23375,7.880181789398193,8.226449012756348,7.8361124992370605
46,23385,7.880181789398193,8.226449012756348,7.8361124992370605
47,23395,7.880181789398193,8.226449012756348,7.8361124992370605
48,23405,7.880181789398193,8.226449012756348,7.8361124992370605
49,23415,7.880181789398193,8.226449012756348,7.8361124992370605
