,ts,event,out_idx
0,23296,EV_LIFTOFF,0
1,26936,EV_MAX_V,255
2,28297,EV_CUSTOM_1,255
3,29706,EV_APOGEE,0
4,33297,EV_CUSTOM_2,255
5,39987,EV_POST_APOGEE,0
