,ts,height_cov,velocity_cov
0,0.001,0.11533285677433014,0.026891088113188744
1,0.011,0.1153264194726944,0.02686728723347187
2,0.021,0.11531998962163925,0.02684352919459343
3,0.031,0.1153135746717453,0.02681981585919857
4,0.041,0.11530717462301254,0.026796145364642143
5,0.051,0.11530078202486038,0.02677251771092415
6,0.061,0.11529440432786942,0.026748932898044586
7,0.071,0.11528804153203964,0.026725390926003456
8,0.081,0.11528168618679047,0.02670189179480076
9,0.091,0.11527534574270248,0.026678437367081642
10,0.101,0.1152690127491951,0.026655025780200958
11,0.111,0.11526269465684891,0.026631657034158707
12,0.121,0.11525639146566391,0.026608329266309738
13,0.131,0.11525009572505951,0.026585044339299202
14,0.141,0.1152438074350357,0.026561802253127098
15,0.151,0.1152375265955925,0.026538601145148277
16,0.161,0.11523126065731049,0.02651544287800789
17,0.171,0.11522500962018967,0.026492327451705933
18,0.181,0.11521878093481064,0.02646925300359726
19,0.191,0.11521255970001221,0.02644621953368187
20,0.201,0.11520633101463318,0.026423227041959763
21,0.211,0.11520012468099594,0.026400277391076088
22,0.221,0.1151939332485199,0.026377368718385696
23,0.231,0.11518775671720505,0.026354502886533737
24,0.241,0.1151815876364708,0.02633167803287506
25,0.251,0.11517542600631714,0.026308894157409668
26,0.261,0.11516928672790527,0.026286151260137558
27,0.271,0.11516313999891281,0.026263447478413582
28,0.281,0.11515701562166214,0.02624078467488289
29,0.291,0.11515089124441147,0.02621816284954548
30,0.301,0.11514478921890259,0.026195582002401352
31,0.311,0.1151386946439743,0.02617304027080536
32,0.321,0.11513260751962662,0.02615053951740265
33,0.331,0.11512653529644012,0.026128077879548073
34,0.341,0.11512047052383423,0.02610565721988678
35,0.351,0.11511442810297012,0.02608327753841877
36,0.361,0.11510838568210602,0.026060936972498894
37,0.371,0.1151023581624031,0.02603863552212715
38,0.381,0.11509634554386139,0.026016373187303543
39,0.391,0.11509034782648087,0.025994151830673218
40,0.401,0.11508434265851974,0.025971967726945877
41,0.411,0.11507835984230042,0.02594982273876667
42,0.421,0.11507238447666168,0.025927718728780746
43,0.431,0.11506642401218414,0.025905651971697807
44,0.441,0.1150604709982872,0.02588362619280815
45,0.451,0.11505453288555145,0.02586163766682148
46,0.461,0.1150486022233963,0.02583969011902809
47,0.471,0.11504267901182175,0.025817779824137688
48,0.481,0.11503676325082779,0.02579590678215027
49,0.491,0.11503085494041443,0.025774074718356133
50,0.501,0.11502496153116226,0.02575227990746498
51,0.511,0.11501908302307129,0.025730522349476814
52,0.521,0.11501321941614151,0.02570880390703678
53,0.531,0.11500736325979233,0.025687124580144882
54,0.541,0.11500151455402374,0.02566548064351082
55,0.551,0.11499568074941635,0.02564387582242489
56,0.561,0.11498985439538956,0.025622310116887093
57,0.571,0.11498404294252396,0.02560078166425228
58,0.581,0.11497823894023895,0.025579290464520454
59,0.591,0.11497244238853455,0.025557836517691612
60,0.601,0.11496665328741074,0.025536419823765755
61,0.611,0.11496086418628693,0.025515040382742882
62,0.621,0.11495508998632431,0.025493698194622993
63,0.631,0.11494933068752289,0.02547239325940609
64,0.641,0.11494358628988266,0.02545112371444702
65,0.651,0.11493784189224243,0.025429891422390938
66,0.661,0.1149321123957634,0.02540869638323784
67,0.671,0.11492639034986496,0.025387538596987724
68,0.681,0.11492068320512772,0.025366416200995445
69,0.691,0.11491498351097107,0.02534533105790615
70,0.701,0.11490929126739502,0.025324281305074692
71,0.711,0.11490361392498016,0.025303268805146217
72,0.721,0.1148979440331459,0.02528229169547558
73,0.731,0.11489228904247284,0.025261351838707924
74,0.741,0.11488664895296097,0.025240447372198105
75,0.751,0.1148810014128685,0.02521957829594612
76,0.761,0.11487537622451782,0.025198746472597122
77,0.771,0.11486975848674774,0.02517795003950596
78,0.781,0.11486414074897766,0.02515718899667263
79,0.791,0.11485854536294937,0.025136463344097137
80,0.801,0.11485294997692108,0.02511577308177948
81,0.811,0.11484736204147339,0.025095118209719658
82,0.821,0.11484178155660629,0.02507449872791767
83,0.831,0.1148362085223198,0.02505391277372837
84,0.841,0.11483065783977509,0.025033364072442055
85,0.851,0.11482511460781097,0.025012850761413574
86,0.861,0.11481957882642746,0.02499237097799778
87,0.871,0.11481405049562454,0.02497192472219467
88,0.881,0.11480853706598282,0.0249515138566494
89,0.891,0.11480303108692169,0.02493113838136196
90,0.901,0.11479753255844116,0.02491079643368721
91,0.911,0.11479204148054123,0.024890489876270294
92,0.921,0.11478656530380249,0.024870216846466064
93,0.931,0.11478109657764435,0.02484997920691967
94,0.941,0.1147756353020668,0.024829775094985962
95,0.951,0.11477018892765045,0.02480960637331009
96,0.961,0.1147647425532341,0.024789471179246902
97,0.971,0.11475930362939835,0.024769369512796402
