,ts,altitude_agl,raw_acceleration,filtered_altitude_AGL,filtered_acceleration
0,0.001,,0.008982658386230469,-0.24653762578964233,0.004491329193115234
1,0.011,,0.0,-0.27805644273757935,0.004491329193115234
2,0.021,,0.0359344482421875,-0.24653762578964233,0.008983612060546875
3,0.031,,0.01796722412109375,-0.27805644273757935,0.008983612060546875
4,0.041,,-0.1437358856201172,-0.1861548125743866,0.008983612060546875
5,0.051,,0.15271949768066406,-0.1861548125743866,0.008983612060546875
6,0.061,,-0.0359344482421875,-0.2475089728832245,0.008983612060546875
7,0.071,,0.06288528442382812,-0.15459713339805603,0.008983612060546875
8,0.081,,0.06288433074951172,-0.15459713339805603,0.008983612060546875
9,0.091,,0.04491710662841797,-0.09343335032463074,0.008983612060546875
10,0.101,,0.04491710662841797,-0.1545843780040741,0.022458553314208984
11,0.111,,0.04491710662841797,-0.09340104460716248,0.022458553314208984
12,0.121,,0.05390167236328125,-0.06366106867790222,0.022458553314208984
13,0.131,,0.044918060302734375,-0.06366106867790222,0.026950836181640625
14,0.141,,0.0359344482421875,-0.1250143051147461,0.022459030151367188
15,0.151,,0.08983516693115234,-0.12481209635734558,0.026950836181640625
16,0.161,,0.09881877899169922,-0.24738872051239014,0.026950836181640625
17,0.171,,0.12576961517333984,-0.24738872051239014,0.03144216537475586
18,0.181,,0.1347522735595703,-0.18616533279418945,0.0359344482421875
19,0.191,,0.16170310974121094,-0.15564870834350586,0.04491758346557617
20,0.201,,0.2066202163696289,-0.15564870834350586,0.04940938949584961
21,0.211,,0.6108789443969727,-0.15564870834350586,0.06288480758666992
22,0.221,,2.362664222717285,-0.15564870834350586,0.06737613677978516
23,0.231,,6.782554626464844,-0.1250143051147461,0.08085155487060547
24,0.241,,12.073846817016602,-0.1565331220626831,0.10331010818481445
25,0.251,,16.610523223876953,-0.1565331220626831,0.30543947219848633
26,0.261,,19.844589233398438,-0.1565331220626831,1.1813321113586426
27,0.271,,21.838930130004883,-0.1565331220626831,3.391277313232422
28,0.281,,22.377941131591797,-0.2179674208164215,6.036923408508301
29,0.291,,21.389753341674805,-0.18619763851165771,8.305261611938477
30,0.301,,19.269643783569336,-0.1862867772579193,9.634821891784668
31,0.311,,16.960880279541016,-0.27908340096473694,9.634821891784668
32,0.321,,13.996318817138672,-0.34050798416137695,9.634821891784668
33,0.331,,11.067691802978516,-0.30898916721343994,9.634821891784668
34,0.341,,8.372636795043945,-0.43217694759368896,9.634821891784668
35,0.351,,5.381125450134277,-0.37084224820137024,8.480440139770508
36,0.361,,2.748955726623535,-0.33922895789146423,6.998159408569336
37,0.371,,1.051072120666504,-0.1862093210220337,5.533845901489258
38,0.381,,-0.008984565734863281,-0.18543264269828796,4.186318397521973
39,0.391,,-1.2217588424682617,-0.21704593300819397,2.6905627250671387
40,0.401,,-2.6770877838134766,-0.30816650390625,1.3744778633117676
41,0.411,,-4.069533348083496,-0.21704593300819397,0.525536060333252
42,0.421,,-5.479945659637451,-0.18756486475467682,-0.004492282867431641
43,0.431,,-6.998159408569336,-0.09472325444221497,-0.6108794212341309
44,0.441,,-8.139066696166992,-0.1560462862253189,-1.3385438919067383
45,0.451,,-8.237884521484375,-0.1560462862253189,-2.034766674041748
46,0.461,,-7.734808444976807,-0.1560462862253189,-2.7399728298187256
47,0.471,,-6.9712090492248535,-0.1264265924692154,-3.4317033290863037
48,0.481,,-7.447335720062256,-0.12534067034721375,-3.552980899810791
49,0.491,,-8.399588584899902,-0.003861457109451294,-3.723667860031128
50,0.501,,-8.471456527709961,-0.003861457109451294,-3.8674042224884033
51,0.511,,-7.267665386199951,0.058241575956344604,-3.9033381938934326
52,0.521,,-6.018956184387207,0.058241575956344604,-3.9033381938934326
53,0.531,,-5.740467071533203,0.05832642316818237,-3.777569055557251
54,0.541,,-6.45914888381958,0.11978045105934143,-3.629340887069702
55,0.551,,-7.465302467346191,0.1513926088809967,-3.629340887069702
56,0.561,,-8.749945640563965,0.1811453402042389,-3.7326512336730957
57,0.571,,-9.558462142944336,0.1811453402042389,-3.777568817138672
58,0.581,,-9.549478530883789,0.24123576283454895,-3.777568817138672
59,0.591,,-9.037418365478516,0.21161702275276184,-3.777568817138672
60,0.601,,-8.480440139770508,0.21058037877082825,-4.240220069885254
61,0.611,,-8.291786193847656,0.20962360501289368,-4.240220069885254
62,0.621,,-8.920632362365723,0.15042102336883545,-4.374972820281982
63,0.631,,-9.603379249572754,0.15042102336883545,-4.460316181182861
64,0.641,,-9.68423080444336,0.11984550952911377,-4.518709182739258
