,ts,Ax,Ay,Az
0,-0.371,0.0,-0.78125,0.0
1,-0.361,0.0,-0.78125,0.0
2,-0.351,0.0,-0.78125,0.0
3,-0.341,0.0,-0.78125,0.0
4,-0.331,0.0,-0.78125,0.0
5,-0.321,-0.78125,-0.78125,0.0
6,-0.311,0.0,-0.78125,0.0
7,-0.301,0.0,-0.78125,0.0
8,-0.291,0.0,-0.78125,0.0
9,-0.281,-0.78125,-0.78125,0.0
10,-0.271,-0.78125,-0.78125,0.0
11,-0.261,0.0,-0.78125,0.0
12,-0.251,0.0,-0.78125,0.0
13,-0.241,-0.78125,-0.78125,0.0
14,-0.231,0.0,-0.78125,0.0
15,-0.221,-0.78125,-0.78125,0.0
16,-0.211,0.0,-0.78125,0.0
17,-0.201,0.0,-0.78125,0.0
18,-0.191,0.0,-0.78125,0.0
19,-0.181,-0.78125,-0.78125,0.0
20,-0.171,-0.78125,-0.78125,0.0
21,-0.161,-0.78125,-0.78125,0.0
22,-0.151,0.0,-0.78125,0.0
23,-0.141,0.0,-0.78125,0.0
24,-0.131,-0.78125,-0.78125,0.0
25,-0.121,0.0,-0.78125,0.0
26,-0.111,-0.78125,-0.78125,0.0
27,-0.101,-0.78125,-0.78125,0.0
28,-0.091,-0.78125,-1.5625,0.0
29,-0.081,-0.78125,-0.78125,0.0
30,-0.071,0.78125,-0.78125,0.0
31,-0.061,0.78125,-0.78125,0.0
32,-0.051,0.0,-0.78125,0.0
33,-0.041,-0.78125,0.0,0.0
34,-0.031,-0.78125,-0.78125,0.0
35,-0.021,-1.5625,-0.78125,0.0
36,-0.011,0.0,-0.78125,0.0
37,-0.001,-0.78125,-0.78125,0.0
38,0.009,0.0,-0.78125,0.0
39,0.019,0.0,-0.78125,0.0
40,0.029,0.0,0.0,0.0
41,0.039,0.0,-0.78125,0.0
42,0.049,-0.78125,-0.78125,0.0
43,0.059,-0.78125,-0.78125,0.0
44,0.069,-0.78125,-0.78125,0.0
45,0.079,-0.78125,-0.78125,0.0
46,0.089,-0.78125,-0.78125,0.0
