,ts,height,velocity,acceleration,altitude_agl,lower_bound,upper_bound
0,-0.032,4.482255935668945,9.542803764343262,22.542346954345703,5.256462574005127,5.230418114204447,3.734093757133444
1,-0.022,4.789547920227051,10.191758155822754,23.760852813720703,12.611184120178223,5.537672857987251,4.041422982466851
2,-0.012,5.118931770324707,10.877163887023926,24.370105743408203,14.42282485961914,5.867019577500096,4.370843963149318
3,-0.002,5.271092414855957,11.222540855407715,25.444042205810547,10.432160377502441,6.01914317924345,4.523041650468464
4,0.008,5.469659328460693,11.656801223754883,26.249492645263672,5.256462574005127,6.217673137870247,4.7216455190511395
5,0.018,5.667154788970947,12.076998710632324,25.784809112548828,8.885152816772461,6.4151317536377315,4.919177824304163
6,0.028,5.886318206787109,12.538424491882324,26.559284210205078,6.803348064422607,6.634258414549288,5.1383779990249305
7,0.038,6.100618362426758,12.98466682434082,27.075599670410156,9.246853828430176,6.848521901135445,5.35271482371807
8,0.048,6.354371547698975,13.50484561920166,27.612567901611328,8.885152816772461,7.102238527633699,5.60650456776425
9,0.058,6.6071319580078125,14.01293659210205,27.64354705810547,10.432160377502441,7.354962511880861,5.859301404134764
10,0.068,6.951638221740723,14.682677268981934,26.858749389648438,16.2398738861084,7.699432415030757,6.203844028450688
11,0.078,7.173796653747559,15.10571002960205,27.044620513916016,10.794135093688965,7.921554574361554,6.426038733133563
12,0.088,7.367841720581055,15.465474128723145,26.765811920166016,8.885152816772461,8.115563501278473,6.620119939883637
13,0.098,7.7444562911987305,16.167818069458008,26.807117462158203,19.965904235839844,8.492142042337356,6.996770540060105
14,0.108,8.063517570495605,16.746063232421875,26.86907196044922,16.2398738861084,8.811167357605173,7.315867783386038
15,0.118,8.284236907958984,17.127981185913086,26.827770233154297,10.794135093688965,9.031850863847923,7.5366229520700445
16,0.128,8.527560234069824,17.547971725463867,27.240821838378906,8.885152816772461,9.275138469141513,7.779981998998136
17,0.138,8.807855606079102,18.026103973388672,26.73482894897461,14.152912139892578,9.555398141051864,8.06031307110634
18,0.148,9.106040000915527,18.532676696777344,26.90005111694336,12.611184120178223,9.853546946215818,8.358533055615236
19,0.158,9.258339881896973,18.752578735351562,27.29245376586914,7.073511600494385,10.005811370394369,8.510868393399576
20,0.168,9.430828094482422,19.00473403930664,26.879398345947266,7.073511600494385,10.178264191780174,8.68339199718467
21,0.178,9.649137496948242,19.33647918701172,26.559284210205078,10.794135093688965,10.396538291088392,8.901736702808092
22,0.188,9.862422943115234,19.646394729614258,26.125579833984375,10.794135093688965,10.60978856701336,9.115057319217108
23,0.198,10.15715217590332,20.10226058959961,25.59893798828125,19.965904235839844,10.904482717630604,9.409821634176037
24,0.208,10.53936767578125,20.715862274169922,25.619590759277344,21.782955169677734,11.286663200988642,9.792072150573858
25,0.218,10.889261245727539,21.252281188964844,25.134254455566406,21.421354293823242,11.636521887376265,10.142000604078813
26,0.228,11.208357810974121,21.714109420776367,24.607608795166016,19.965904235839844,11.955583634739853,10.46113198720839
27,0.238,11.446160316467285,22.006961822509766,24.049991607666016,16.2398738861084,12.193351477777947,10.698969155156624
28,0.248,11.685737609863281,22.293258666992188,23.564651489257812,16.2398738861084,12.432894129547602,10.93858109017896
29,0.258,12.029361724853516,22.77037811279297,23.420085906982422,14.152912139892578,12.776483735932347,11.282239713774684
30,0.268,12.388562202453613,23.26890754699707,23.430408477783203,21.782955169677734,13.135649793088485,11.641474611818742
31,0.278,12.712904930114746,23.68802261352539,23.007030487060547,23.330402374267578,13.459958188479373,11.96585167175012
32,0.288,13.10634708404541,24.231061935424805,23.089641571044922,23.605409622192383,13.853366053443793,12.359328114647028
33,0.298,13.441314697265625,24.650617599487305,22.85213851928711,23.330402374267578,14.188299510775588,12.694329883755662
34,0.308,13.701858520507812,24.920652389526367,22.85213851928711,18.056922912597656,14.448809266339461,12.954907774676164
35,0.318,13.900779724121094,25.068265914916992,22.862464904785156,15.97002124786377,14.647696490496605,13.153862957745583
36,0.328,14.125391006469727,25.261104583740234,22.862464904785156,14.42282485961914,14.872273881623316,13.378508131316137
37,0.338,14.320793151855469,25.38998031616211,22.35647201538086,12.611184120178223,15.067642224033367,13.57394407967757
38,0.348,14.505561828613281,25.489877700805664,21.705917358398438,10.432160377502441,15.252377230967811,13.758746426258751
39,0.358,14.68885326385498,25.581890106201172,21.520042419433594,12.611184120178223,15.435635062212283,13.942071465497678
40,0.368,14.931872367858887,25.781307220458984,21.076011657714844,12.243863105773926,15.678620605604916,14.185124130112857
41,0.378,15.216480255126953,26.051748275756836,20.425453186035156,18.056922912597656,15.963195020553677,14.46976548970023
42,0.388,15.470281600952148,26.24827766418457,19.485759735107422,16.2398738861084,16.216963004814488,14.723600197089809
43,0.398,15.68698787689209,26.36688232421875,19.299884796142578,14.152912139892578,16.43363598505565,14.940339768728531
44,0.408,16.020309448242188,26.708311080932617,19.475433349609375,18.056922912597656,16.76692434903446,15.273694547449914
45,0.418,16.38544464111328,27.10003662109375,18.959117889404297,25.15291976928711,17.132026422873555,15.638862859353006
46,0.428,16.669050216674805,27.324058532714844,18.597694396972656,15.97002124786377,17.41559899020919,15.922501443140417
47,0.438,17.034942626953125,27.700096130371094,18.566715240478516,21.421354293823242,17.781458458170313,16.288426795735937
48,0.448,17.491844177246094,28.241243362426758,18.329212188720703,27.2395076751709,18.238327132063493,16.745361222428695
49,0.458,17.951759338378906,28.766935348510742,17.15201187133789,28.787139892578125,18.698209527638717,17.205309149119095
50,0.468,18.26441192626953,28.997957229614258,16.831893920898438,19.6042423248291,19.010829438369527,17.517994414169536
51,0.478,18.543489456176758,29.160112380981445,16.800914764404297,14.152912139892578,19.289874357066324,17.79710455528719
52,0.488,18.904396057128906,29.473478317260742,16.532432556152344,23.330402374267578,19.65074843522705,18.15804367903076
53,0.498,19.276411056518555,29.797805786132812,16.0677490234375,26.970029830932617,20.02273100025585,18.53009111278126
54,0.508,19.597774505615234,30.013498306274414,15.499800682067871,17.787132263183594,20.344062103433778,18.85148690779669
55,0.518,19.980833053588867,30.341949462890625,15.541106224060059,25.422460556030273,20.72708834901445,19.234577758163283
56,0.528,20.39919662475586,30.728212356567383,15.159031867980957,23.605409622192383,21.145419751179425,19.652973498332294
57,0.538,20.616024017333984,30.718820571899414,14.580758094787598,19.6042423248291,21.362215063232046,19.869832971435923
58,0.548,20.845003128051758,30.73127555847168,14.477496147155762,19.6042423248291,21.591162181912246,20.09884407419127
59,0.558,21.231233596801758,31.041078567504883,14.425862312316895,26.970029830932617,21.97736070218846,20.485106491415056
60,0.568,21.516508102416992,31.149744033813477,14.116074562072754,25.15291976928711,22.262603325368016,20.77041287946597
61,0.578,21.76708984375,31.18852996826172,13.723673820495605,15.97002124786377,22.51315329525128,21.02102639224872
62,0.588,22.05388832092285,31.295352935791016,13.785632133483887,21.421354293823242,22.799920111974497,21.307856529871206
63,0.598,22.41735076904297,31.543447494506836,13.651389122009277,32.43217849731445,23.163350943244474,21.671350594841464
64,0.608,22.706161499023438,31.64508819580078,13.754654884338379,25.15291976928711,23.45213014492491,21.960192853121963
65,0.618,22.916778564453125,31.59109878540039,13.16605281829834,17.787132263183594,23.66271574814242,22.17084138076383
66,0.628,23.23360824584961,31.735401153564453,12.577452659606934,26.970029830932617,23.979514100846224,22.487702390852995
67,0.638,23.580921173095703,31.934829711914062,12.618758201599121,30.60965919494629,24.32679574303449,22.835046603156915
68,0.648,23.896705627441406,32.07018280029297,12.536149024963379,21.421354293823242,24.64254897843902,23.150862276443792
69,0.658,24.183692932128906,32.14579772949219,12.381253242492676,23.330402374267578,24.9295051752648,23.437880688993012
70,0.668,24.41299819946289,32.11536407470703,12.980179786682129,23.330402374267578,25.158779400874053,23.667216998051728
71,0.678,24.7729434967041,32.33543395996094,13.07311725616455,28.787139892578125,25.518693767494007,24.027193225914196
72,0.688,25.12068748474121,32.52143478393555,12.288315773010254,26.970029830932617,25.866406846106983,24.37496812337544
73,0.698,25.408180236816406,32.589111328125,12.30897045135498,25.15291976928711,26.153868754919756,24.662491718713056
74,0.708,25.728790283203125,32.72224426269531,12.732346534729004,30.60965919494629,26.474448091659685,24.983132474746565
75,0.718,26.14189338684082,33.02517318725586,12.39157772064209,28.787139892578125,26.887520551834257,25.396266221847384
76,0.728,26.42548370361328,33.07223892211914,12.071463584899902,30.970949172973633,27.171080313819168,25.679887093407395
77,0.738,26.886188507080078,33.461727142333984,12.670390129089355,30.60965919494629,27.631754628700225,26.14062238545993
78,0.748,27.170236587524414,33.5035514831543,12.27799129486084,25.15291976928711,27.91577233173992,26.42470084330891
79,0.758,27.44150733947754,33.513694763183594,11.34862232208252,25.15291976928711,28.1870127725101,26.696001906444977
80,0.768,27.698299407958984,33.49508285522461,11.34862232208252,32.43217849731445,28.443774596038377,26.95282421987959
81,0.778,27.90659523010254,33.38072967529297,11.131770133972168,25.15291976928711,28.652040216978275,27.161150243226803
82,0.788,28.313785552978516,33.65480422973633,11.957873344421387,34.341224670410156,29.059200449873117,27.568370656083914
83,0.798,28.521032333374023,33.543418884277344,11.988852500915527,23.330402374267578,29.26641722903335,27.775647437714696
84,0.808,28.926008224487305,33.811439514160156,11.94754695892334,34.341224670410156,29.67136316268586,28.18065328628875
85,0.818,29.160783767700195,33.753597259521484,12.267664909362793,21.421354293823242,29.906108792217754,28.415458743182636
86,0.828,29.430448532104492,33.76670455932617,12.72202205657959,32.43217849731445,30.17574375420463,28.685153310004356
87,0.838,29.695728302001953,33.76871109008789,12.56712818145752,29.153898239135742,30.440993765480375,28.95046283852353
88,0.848,30.03855323791504,33.909793853759766,11.648085594177246,32.43217849731445,30.783789054056605,29.293317421773473
89,0.858,30.20873260498047,33.71743392944336,11.389927864074707,26.970029830932617,30.953938840092267,29.46352636986867
90,0.868,30.619569778442383,33.987464904785156,11.462212562561035,41.36370086669922,31.364746476342987,29.87439308054178
91,0.878,30.954814910888672,34.109375,11.544819831848145,32.43217849731445,31.69996216039647,30.209667661380873
92,0.888,31.274267196655273,34.19889450073242,11.575800895690918,30.60965919494629,32.01938508659919,30.52914930671135
93,0.898,31.591583251953125,34.28166961669922,11.524168968200684,32.43217849731445,32.336671781176285,30.846494722729968
94,0.908,31.91709327697754,34.374324798583984,11.131770133972168,30.60965919494629,32.662152579322694,31.172033974632384
95,0.918,32.29844665527344,34.5682487487793,10.749695777893066,39.808780670166016,33.04347677459573,31.55341653595114
96,0.928,32.50722885131836,34.42307662963867,10.057831764221191,28.787139892578125,33.252229898983266,31.762227803653456
97,0.938,32.89514923095703,34.61249923706055,9.169770240783691,37.986263275146484,33.64012125083526,32.150177211078805
98,0.948,33.20217514038086,34.64268112182617,8.9735689163208,30.970949172973633,33.94711822135519,32.45723205940653
99,0.958,33.54454040527344,34.73768615722656,8.828999519348145,32.43217849731445,34.28945456872398,32.79962624182289
100,0.968,33.827491760253906,34.71833038330078,8.870305061340332,34.341224670410156,34.57237711758414,33.08260640292367
101,0.978,34.28567123413086,35.03361129760742,8.983895301818848,39.808780670166016,35.03052789675717,33.54081457150455
102,0.988,34.565338134765625,34.99991989135742,8.632800102233887,26.970029830932617,35.3101661240895,33.82051014544175
103,0.998,34.9283561706543,35.118194580078125,7.889304161071777,43.545753479003906,35.67315555309531,34.18355678821328
104,1.008,35.23343276977539,35.122379302978516,7.713757514953613,32.43217849731445,35.97820363426946,34.48866190528132
105,1.018,35.50442886352539,35.06011199951172,7.55886173248291,30.60965919494629,36.24917125399958,34.759686473051204
106,1.028,35.829551696777344,35.108028411865234,8.219746589660645,39.535648345947266,36.57426572469492,35.08483766885977
107,1.038,36.2359619140625,35.31816864013672,9.097485542297363,43.545753479003906,36.98064757834323,35.49127624978177
108,1.048,36.471466064453125,35.202293395996094,9.39694881439209,32.43217849731445,37.216123454065084,35.726808674841166
109,1.058,36.81403350830078,35.29307556152344,9.469233512878418,36.16374588012695,37.55866273473514,36.069404281866426
110,1.068,37.11628723144531,35.3057746887207,9.500210762023926,39.535648345947266,37.86088836117827,36.371686101712356
111,1.078,37.55030822753906,35.56376647949219,9.004548072814941,43.545753479003906,38.29488130453969,36.80573515053843
112,1.088,37.855804443359375,35.56501007080078,8.199095726013184,34.341224670410156,38.60034951160173,37.11125937511702
113,1.098,38.19436264038086,35.63349914550781,8.694758415222168,39.808780670166016,38.93887978887663,37.449845491885085
114,1.108,38.5673828125,35.76551055908203,8.632800102233887,41.63129806518555,39.31187210775372,37.82289351724628
115,1.118,38.78696823120117,35.600589752197266,8.364317893981934,34.341224670410156,39.531429784760896,38.04250667764145
116,1.128,39.185272216796875,35.77763366699219,8.343663215637207,43.545753479003906,39.92970605014766,38.44083838344609
117,1.138,39.47715759277344,35.74991226196289,8.384968757629395,39.808780670166016,40.22156374992244,38.73275143562444
118,1.148,39.71365737915039,35.619144439697266,8.508885383605957,41.63129806518555,40.45803592663023,38.96927883167055
119,1.158,40.1012077331543,35.77998352050781,8.736063957214355,39.808780670166016,40.84555873750499,39.356856728803606
120,1.168,40.4066162109375,35.78494644165039,9.004548072814941,37.986263275146484,41.15093980627305,39.66229261560195
121,1.178,40.60548400878906,35.58706283569336,9.087159156799316,43.545753479003906,41.34978021662316,39.861187800954966
122,1.188,40.89136505126953,35.56258773803711,9.572495460510254,36.16374588012695,41.63563391564209,40.147096186896974
123,1.198,41.210723876953125,35.59836959838867,9.221400260925293,43.545753479003906,41.95496548695828,40.46648226694797
124,1.208,41.518314361572266,35.6097526550293,9.087159156799316,43.545753479003906,42.262528806313945,40.774099916830586
125,1.218,41.842926025390625,35.65440368652344,9.056180000305176,37.986263275146484,42.587113371456184,41.098738679325066
126,1.228,42.12859344482422,35.624000549316406,9.025200843811035,37.986263275146484,42.87275369122686,41.384433198421576
127,1.238,42.33863830566406,35.4409294128418,8.188767433166504,43.82007598876953,43.0827715640567,41.594505047271426
128,1.248,42.742183685302734,35.62903594970703,8.292033195495605,47.196197509765625,43.48629002229287,41.9980773483126
129,1.258,42.974632263183594,35.485450744628906,8.002894401550293,37.986263275146484,43.718711745385974,42.23055278098121
130,1.268,43.2425651550293,35.412567138671875,8.137137413024902,43.545753479003906,43.986617804005064,42.49851250605353
131,1.278,43.619972229003906,35.55025863647461,8.240401268005371,47.196197509765625,44.36399813391017,42.87594632409764
132,1.288,43.79622268676758,35.30230712890625,8.116484642028809,37.986263275146484,44.54022186917502,43.052223504360136
133,1.298,44.073883056640625,35.25010681152344,7.9615888595581055,41.63129806518555,44.81785560572073,43.32991050756052
134,1.308,44.45961380004883,35.403038024902344,7.786042213439941,54.589027404785156,45.20355975991539,43.71566784018226
135,1.318,44.74602508544922,35.36612319946289,7.951264381408691,41.997623443603516,45.48994447768632,44.002105693212116
136,1.328,45.06687927246094,35.40176773071289,8.612147331237793,45.36827087402344,45.81077220879595,44.32298633612592
137,1.338,45.27960968017578,35.23181915283203,8.715411186218262,43.545753479003906,46.02347620473987,44.53574315561169
138,1.348,45.57931900024414,35.22657775878906,8.364317893981934,45.36827087402344,46.323159224783694,44.83547877570459
139,1.358,46.026676177978516,35.50777816772461,8.9735689163208,52.76110076904297,46.77049014663888,45.282862209318154
140,1.368,46.39069747924805,35.62302017211914,8.725737571716309,49.018714904785156,47.13448525871766,45.64690969977843
141,1.378,46.579952239990234,35.40355682373047,8.674105644226074,39.808780670166016,47.323713874425366,45.8361906055551
142,1.388,46.830631256103516,35.30194091796875,8.415947914123535,37.986263275146484,47.574366812205106,46.086895700001925
143,1.398,47.204986572265625,35.43976593017578,8.694758415222168,58.239471435546875,47.948696139282426,46.461277005248824
144,1.408,47.687744140625,35.765289306640625,7.094180107116699,52.76110076904297,48.431427785273534,46.944060495976466
145,1.418,47.88090896606445,35.52711868286133,6.319705009460449,41.63129806518555,48.62456670998349,47.137251222145416
146,1.428,48.19977569580078,35.53187561035156,6.309380531311035,45.36827087402344,48.9434076282608,47.45614376334076
147,1.438,48.540740966796875,35.577823638916016,6.257746696472168,49.384788513183594,49.28434715453373,47.79713477906002
148,1.448,48.903465270996094,35.66324996948242,6.1648101806640625,54.589027404785156,49.64704578075256,48.159884761239624
149,1.458,49.22970962524414,35.67146301269531,5.514253616333008,56.416954040527344,49.97326452376992,48.48615472671836
