,ts,imu_0,imu_1,imu_2,baro_0,baro_1,baro_2
186,378642,0,1,0,0,0,0
187,378652,0,1,0,0,0,0
188,378662,0,1,0,0,0,0
189,378672,0,1,0,0,0,0
190,378682,0,1,0,0,0,0
191,378692,0,1,0,0,0,0
192,378702,0,1,0,0,0,0
193,378712,0,1,0,0,0,0
194,378722,0,1,0,0,0,0
195,378732,0,1,0,0,0,0
196,378742,0,1,0,0,0,0
197,378752,0,1,0,0,0,0
198,378762,0,1,0,0,0,0
199,378772,0,1,0,0,0,0
200,378782,0,1,0,0,0,0
201,378792,0,1,0,0,0,0
202,378802,0,1,0,0,0,0
203,378812,0,1,0,0,0,0
204,378822,0,1,0,0,0,0
205,378832,0,1,0,0,0,0
206,378842,0,1,0,0,0,0
207,378852,0,1,0,0,0,0
208,378862,0,1,0,0,0,0
209,378872,0,1,0,0,0,0
210,378882,0,1,0,0,0,0
211,378892,0,1,0,0,0,0
212,378902,0,1,0,0,0,0
213,378912,0,1,0,0,0,0
214,378922,0,1,0,0,0,0
215,378932,0,1,0,0,0,0
216,378942,0,1,0,0,0,0
217,378952,0,1,0,0,0,0
218,378962,0,1,0,0,0,0
219,378972,0,1,0,0,0,0
220,378982,0,1,0,0,0,0
221,378992,0,1,0,0,0,0
222,379002,0,1,0,0,0,0
223,379012,0,1,0,0,0,0
224,379022,0,1,0,0,0,0
225,379032,0,1,0,0,0,0
226,379042,0,1,0,0,0,0
227,379052,0,1,0,0,0,0
228,379062,0,1,0,0,0,0
229,379072,0,1,0,0,0,0
230,379082,0,1,0,0,0,0
231,379092,0,1,0,0,0,0
232,379102,0,1,0,0,0,0
233,379112,0,1,0,0,0,0
234,379122,0,1,0,0,0,0
235,379132,0,1,0,0,0,0
236,379142,0,1,0,0,0,0
237,379152,0,1,0,0,0,0
238,379162,0,1,0,0,0,0
239,379172,0,1,0,0,0,0
240,379182,0,1,0,0,0,0
241,379192,0,1,0,0,0,0
242,379202,0,1,0,0,0,0
243,379212,0,1,0,0,0,0
244,379222,0,1,0,0,0,0
245,379232,0,1,0,0,0,0
246,379242,0,1,0,0,0,0
247,379252,0,1,0,0,0,0
248,379262,0,1,0,0,0,0
249,379272,0,1,0,0,0,0
250,379282,0,1,0,0,0,0
251,379292,0,1,0,0,0,0
252,379302,0,1,0,0,0,0
253,379312,0,1,0,0,0,0
254,379322,0,1,0,0,0,0
255,379332,0,1,0,0,0,0
256,379342,0,1,0,0,0,0
257,379352,0,1,0,0,0,0
258,379362,0,1,0,0,0,0
259,379372,0,1,0,0,0,0
260,379382,0,1,0,0,0,0
261,379392,0,1,0,0,0,0
262,379402,0,1,0,0,0,0
263,379412,0,1,0,0,0,0
264,379422,0,1,0,0,0,0
265,379432,0,1,0,0,0,0
266,379442,0,1,0,0,0,0
267,379452,0,1,0,0,0,0
268,379462,0,1,0,0,0,0
269,379472,0,1,0,0,0,0
270,379482,0,1,0,0,0,0
271,379492,0,1,0,0,0,0
272,379502,0,1,0,0,0,0
273,379512,0,1,0,0,0,0
274,379522,0,1,0,0,0,0
275,379532,0,1,0,0,0,0
276,379542,0,1,0,0,0,0
277,379552,0,1,0,0,0,0
278,379562,0,1,0,0,0,0
279,379572,0,1,0,0,0,0
280,379582,0,1,0,0,0,0
281,379592,0,1,0,0,0,0
282,379602,0,1,0,0,0,0
283,379612,0,1,0,0,0,0
284,379622,0,1,0,0,0,0
285,379632,0,1,0,0,0,0
286,379642,0,1,0,0,0,0
287,379652,0,1,0,0,0,0
288,379662,0,1,0,0,0,0
289,379672,0,1,0,0,0,0
290,379682,0,1,0,0,0,0
291,379692,0,1,0,0,0,0
292,379702,0,1,0,0,0,0
293,379712,0,1,0,0,0,0
294,379722,0,1,0,0,0,0
295,379732,0,1,0,0,0,0
296,379742,0,1,0,0,0,0
297,379752,0,1,0,0,0,0
298,379762,0,1,0,0,0,0
299,379772,0,1,0,0,0,0
300,379782,0,1,0,0,0,0
301,379792,0,1,0,0,0,0
302,379802,0,1,0,0,0,0
303,379812,0,1,0,0,0,0
304,379822,0,1,0,0,0,0
305,379832,0,1,0,0,0,0
306,379842,0,1,0,0,0,0
307,379852,0,1,0,0,0,0
308,379862,0,1,0,0,0,0
309,379872,0,1,0,0,0,0
310,379882,0,1,0,0,0,0
311,379892,0,1,0,0,0,0
312,379902,0,1,0,0,0,0
313,379912,0,1,0,0,0,0
314,379922,0,1,0,0,0,0
315,379932,0,1,0,0,0,0
316,379942,0,1,0,0,0,0
317,379952,0,1,0,0,0,0
318,379962,0,1,0,0,0,0
319,379972,0,1,0,0,0,0
320,379982,0,1,0,0,0,0
321,379992,0,1,0,0,0,0
322,380002,0,1,0,0,0,0
323,380012,0,1,0,0,0,0
324,380022,0,1,0,0,0,0
325,380032,0,1,0,0,0,0
326,380042,0,1,0,0,0,0
327,380052,0,1,0,0,0,0
328,380062,0,1,0,0,0,0
329,380072,0,1,0,0,0,0
330,380082,0,1,0,0,0,0
331,380092,0,1,0,0,0,0
332,380102,0,1,0,0,0,0
333,380112,0,1,0,0,0,0
334,380122,0,1,0,0,0,0
335,380132,0,1,0,0,0,0
336,380142,0,1,0,0,0,0
337,380152,0,1,0,0,0,0
338,380162,0,1,0,0,0,0
339,380172,0,1,0,0,0,0
340,380182,0,1,0,0,0,0
341,380192,0,1,0,0,0,0
342,380202,0,1,0,0,0,0
343,380212,0,1,0,0,0,0
344,380222,0,1,0,0,0,0
345,380232,0,1,0,0,0,0
346,380242,0,1,0,0,0,0
347,380252,0,1,0,0,0,0
348,380262,0,1,0,0,0,0
349,380272,0,1,0,0,0,0
350,380282,0,1,0,0,0,0
351,380292,0,1,0,0,0,0
352,380302,0,1,0,0,0,0
353,380312,0,1,0,0,0,0
354,380322,0,1,0,0,0,0
355,380332,0,1,0,0,0,0
356,380342,0,1,0,0,0,0
357,380352,0,1,0,0,0,0
358,380362,0,1,0,0,0,0
359,380372,0,1,0,0,0,0
360,380382,0,1,0,0,0,0
361,380392,0,1,0,0,0,0
362,380402,0,1,0,0,0,0
363,380412,0,1,0,0,0,0
364,380422,0,1,0,0,0,0
365,380432,0,1,0,0,0,0
366,380442,0,1,0,0,0,0
367,380452,0,1,0,0,0,0
368,380462,0,1,0,0,0,0
369,380472,0,1,0,0,0,0
370,380482,0,1,0,0,0,0
371,380492,0,1,0,0,0,0
372,380502,0,1,0,0,0,0
373,380512,0,1,0,0,0,0
374,380522,0,1,0,0,0,0
375,380532,0,1,0,0,0,0
376,380542,0,1,0,0,0,0
377,380552,0,1,0,0,0,0
378,380562,0,1,0,0,0,0
379,380572,0,1,0,0,0,0
380,380582,0,1,0,0,0,0
381,380592,0,1,0,0,0,0
382,380602,0,1,0,0,0,0
383,380612,0,1,0,0,0,0
384,380622,0,1,0,0,0,0
385,380632,0,1,0,0,0,0
386,380642,0,1,0,0,0,0
387,380652,0,1,0,0,0,0
388,380662,0,1,0,0,0,0
389,380672,0,1,0,0,0,0
390,380682,0,1,0,0,0,0
391,380692,0,1,0,0,0,0
392,380702,0,1,0,0,0,0
393,380712,0,1,0,0,0,0
394,380722,0,1,0,0,0,0
395,380732,0,1,0,0,0,0
396,380742,0,1,0,0,0,0
397,380752,0,1,0,0,0,0
398,380762,0,1,0,0,0,0
399,380772,0,1,0,0,0,0
400,380782,0,1,0,0,0,0
401,380792,0,1,0,0,0,0
402,380802,0,1,0,0,0,0
403,380812,0,1,0,0,0,0
404,380822,0,1,0,0,0,0
405,380832,0,1,0,0,0,0
406,380842,0,1,0,0,0,0
407,380852,0,1,0,0,0,0
408,380862,0,1,0,0,0,0
409,380872,0,1,0,0,0,0
410,380882,0,1,0,0,0,0
411,380892,0,1,0,0,0,0
412,380902,0,1,0,0,0,0
413,380912,0,1,0,0,0,0
414,380922,0,1,0,0,0,0
415,380932,0,1,0,0,0,0
416,380942,0,1,0,0,0,0
417,380952,0,1,0,0,0,0
418,380962,0,1,0,0,0,0
419,380972,0,1,0,0,0,0
420,380982,0,1,0,0,0,0
421,380992,0,1,0,0,0,0
422,381002,0,1,0,0,0,0
423,381012,0,1,0,0,0,0
424,381022,0,1,0,0,0,0
425,381032,0,1,0,0,0,0
426,381042,0,1,0,0,0,0
427,381052,0,1,0,0,0,0
428,381062,0,1,0,0,0,0
429,381072,0,1,0,0,0,0
430,381082,0,1,0,0,0,0
431,381092,0,1,0,0,0,0
432,381102,0,1,0,0,0,0
433,381112,0,1,0,0,0,0
434,381122,0,1,0,0,0,0
435,381132,0,1,0,0,0,0
436,381142,0,1,0,0,0,0
437,381152,0,1,0,0,0,0
438,381162,0,1,0,0,0,0
439,381172,0,1,0,0,0,0
440,381182,0,1,0,0,0,0
441,381192,0,1,0,0,0,0
442,381202,0,1,0,0,0,0
443,381212,0,1,0,0,0,0
444,381222,0,1,0,0,0,0
445,381232,0,1,0,0,0,0
446,381242,0,1,0,0,0,0
447,381252,0,1,0,0,0,0
448,381262,0,1,0,0,0,0
449,381272,0,1,0,0,0,0
450,381282,0,1,0,0,0,0
451,381292,0,1,0,0,0,0
452,381302,0,1,0,0,0,0
453,381312,0,1,0,0,0,0
454,381322,0,1,0,0,0,0
455,381332,0,1,0,0,0,0
456,381342,0,1,0,0,0,0
457,381352,0,1,0,0,0,0
458,381362,0,1,0,0,0,0
459,381372,0,1,0,0,0,0
460,381382,0,1,0,0,0,0
461,381392,0,1,0,0,0,0
462,381402,0,1,0,0,0,0
463,381412,0,1,0,0,0,0
464,381422,0,1,0,0,0,0
465,381432,0,1,0,0,0,0
466,381442,0,1,0,0,0,0
467,381452,0,1,0,0,0,0
468,381462,0,1,0,0,0,0
469,381472,0,1,0,0,0,0
470,381482,0,1,0,0,0,0
471,381492,0,1,0,0,0,0
472,381502,0,1,0,0,0,0
473,381512,0,1,0,0,0,0
474,381522,0,1,0,0,0,0
