,ts,error
354,76.429,4096
355,76.539,12288
356,76.679,4096
357,76.799,12288
358,76.889,4096
359,77.069,12288
360,77.129,4096
361,77.389,12288
362,77.509,4096
363,77.659,12288
364,77.769,4096
365,77.969,12288
366,78.409,4096
367,78.499,12288
368,78.639,4096
369,78.729,12288
370,78.769,4096
371,79.049,12288
372,79.069,4096
373,79.339,12288
374,79.429,4096
375,79.799,12288
376,80.029,4096
377,80.149,12288
378,80.159,4096
379,80.359,12288
380,80.369,4096
381,80.549,12288
382,80.589,4096
383,80.729,12288
384,81.639,4096
385,81.799,12288
386,81.879,4096
387,81.989,12288
388,82.059,4096
389,82.249,12288
390,82.269,4096
391,82.389,12288
392,82.509,4096
393,82.599,12288
394,82.669,4096
395,82.809,12288
396,82.819,4096
397,83.109,12288
398,83.189,4096
399,83.289,12288
400,83.359,4096
401,83.459,12288
402,83.579,4096
403,83.859,12288
404,83.969,4096
405,84.149,12288
406,84.329,4096
407,84.609,12288
408,84.799,4096
409,84.889,12288
410,84.949,4096
411,85.039,12288
412,85.279,4096
413,85.369,12288
414,85.999,4096
415,86.099,12288
416,86.259,4096
417,86.349,12288
418,86.869,4096
419,86.959,12288
420,87.159,4096
421,87.249,12288
422,87.829,4096
423,87.959,12288
424,88.149,4096
425,88.349,12288
426,88.359,4096
427,88.459,12288
428,88.519,4096
429,88.619,12288
430,88.779,4096
431,88.869,12288
432,89.259,4096
433,89.469,12288
434,89.539,4096
435,89.639,12288
436,89.659,4096
437,89.749,12288
438,89.909,4096
439,90.009,12288
440,90.069,4096
441,90.159,12288
442,90.279,4096
443,90.359,12288
444,90.899,4096
445,91.549,12288
446,91.569,4096
447,91.649,12288
448,91.689,4096
449,91.799,12288
450,91.809,4096
451,91.899,12288
452,92.039,4096
453,92.119,12288
454,92.139,4096
455,92.259,12288
456,92.289,4096
457,92.539,12288
458,93.069,4096
459,93.369,12288
460,93.409,4096
461,93.549,12288
462,93.589,4096
463,93.809,12288
464,93.869,4096
465,94.309,12288
466,94.399,4096
467,94.639,12288
468,94.709,4096
469,94.789,12288
470,94.829,4096
471,94.949,12288
472,95.169,4096
473,95.259,12288
474,95.549,4096
475,95.809,12288
476,95.909,4096
477,95.999,12288
478,96.199,4096
479,96.289,12288
480,96.649,4096
481,96.739,12288
482,96.909,4096
483,97.019,12288
484,98.189,4096
485,98.719,12288
486,98.999,4096
487,99.199,12288
488,99.309,4096
489,99.509,12288
490,99.559,4096
491,99.689,12288
492,99.699,4096
493,99.779,12288
494,99.979,4096
495,100.139,12288
496,100.399,4096
497,100.429,12288
498,100.439,4096
499,100.549,12288
500,100.569,4096
501,100.849,12288
502,100.869,4096
503,101.269,12288
504,101.699,4096
505,102.279,4160
506,102.279,4288
507,102.299,4224
508,102.299,4096
509,102.879,12288
510,102.889,4096
511,103.219,12288
512,103.309,4096
513,103.599,12288
514,103.629,4096
515,103.909,12288
516,103.979,4096
517,105.339,12288
518,105.389,4096
519,105.479,12288
520,105.549,4096
521,105.749,12288
522,106.009,4096
523,106.869,12288
524,106.889,4096
525,107.549,12288
526,107.669,4096
527,108.399,12288
528,108.579,4096
529,108.869,12288
530,108.899,4096
531,108.989,12288
532,109.429,4096
533,109.519,12288
534,109.559,4096
535,109.749,12288
536,109.829,4096
537,110.439,12288
538,110.699,4096
539,110.959,12288
540,111.009,4096
541,111.179,12288
542,111.189,4096
543,111.539,12288
544,111.639,4096
545,111.759,12288
546,111.829,4096
547,112.459,12288
548,112.579,4096
549,113.109,12288
550,113.369,4096
551,113.619,12288
552,113.799,4096
553,113.939,12288
554,113.949,4096
555,114.039,12288
556,114.119,4096
557,114.769,12288
558,114.889,4096
559,115.299,12288
560,115.389,4096
561,115.519,12288
562,115.599,4096
563,116.049,12288
564,116.209,4096
565,117.299,12288
