,ts,latitude,longitude,satellites
0,-0.74,39.389984130859375,-8.289515495300293,11
1,-0.54,39.389984130859375,-8.289515495300293,11
2,-0.34,39.389984130859375,-8.289515495300293,11
3,-0.14,39.389984130859375,-8.289515495300293,11
4,0.06,39.389984130859375,-8.28951644897461,11
5,0.26,39.389984130859375,-8.28951644897461,11
6,0.36,39.389984130859375,-8.289511680603027,11
7,0.46,39.389984130859375,-8.28950023651123,11
8,0.76,39.38998031616211,-8.289485931396484,11
9,0.86,39.389976501464844,-8.289469718933105,11
10,1.06,39.389976501464844,-8.289454460144043,6
11,1.26,39.38998031616211,-8.289427757263184,10
12,1.56,39.389984130859375,-8.289403915405273,9
13,1.66,39.389984130859375,-8.289403915405273,9
14,1.96,39.38999938964844,-8.289348602294922,9
15,2.06,39.389991760253906,-8.289324760437012,8
16,2.26,39.38999557495117,-8.289280891418457,9
17,2.46,39.38999557495117,-8.2892427444458,11
18,2.96,39.38998794555664,-8.289146423339844,11
19,3.06,39.38998794555664,-8.289146423339844,11
20,3.16,39.38996887207031,-8.289102554321289,11
21,3.26,39.38994598388672,-8.289047241210938,11
22,3.46,39.389930725097656,-8.2889986038208,12
23,3.66,39.389930725097656,-8.2889986038208,11
24,3.76,39.38991928100586,-8.288944244384766,11
25,3.86,39.389892578125,-8.28889274597168,11
26,4.06,39.38985061645508,-8.288837432861328,6
27,4.26,39.38981246948242,-8.28878116607666,6
28,4.46,39.3897705078125,-8.288719177246094,6
29,4.66,39.3897705078125,-8.288719177246094,6
30,4.76,39.389732360839844,-8.288656234741211,6
31,4.86,39.389732360839844,-8.288656234741211,4
32,5.26,39.389732360839844,-8.288656234741211,0
33,5.66,39.389732360839844,-8.288656234741211,3
34,6.76,39.389732360839844,-8.288656234741211,0
35,7.46,39.389129638671875,-8.28796100616455,0
36,7.66,39.389129638671875,-8.28796100616455,5
37,7.86,39.389060974121094,-8.287896156311035,5
38,8.06,39.38901138305664,-8.287919044494629,3
39,8.26,39.38893127441406,-8.28808879852295,3
40,8.46,39.38882827758789,-8.28830623626709,3
41,8.86,39.38878631591797,-8.288105010986328,4
42,9.06,39.38874053955078,-8.288101196289062,4
43,9.26,39.3886833190918,-8.288101196289062,5
44,9.46,39.38862609863281,-8.288153648376465,7
45,9.86,39.38852310180664,-8.288081169128418,0
46,10.06,39.38852310180664,-8.288081169128418,7
47,10.26,39.38842010498047,-8.28797435760498,6
48,10.86,39.38829803466797,-8.287821769714355,7
49,11.06,39.38825988769531,-8.287784576416016,3
50,11.26,39.38821792602539,-8.28773307800293,3
51,11.46,39.38821792602539,-8.28773307800293,6
52,11.66,39.38821792602539,-8.28773307800293,7
53,11.76,39.38813018798828,-8.28764533996582,7
54,12.06,39.38804244995117,-8.287571907043457,7
55,12.26,39.38804244995117,-8.287571907043457,7
56,12.46,39.38795852661133,-8.287476539611816,7
