,ts,id,Gx,Gy,Gz,Ax,Ay,Az
0,0.01,IMU0,2.1951219512195124,8.841463414634147,-9.695121951219512,-0.0263671875,0.2275390625,0.94140625
1,0.01,IMU1,-0.30487804878048785,0.7317073170731708,-0.06097560975609757,-0.0439453125,0.1943359375,0.9296875
2,0.01,IMU2,-0.426829268292683,0.1829268292682927,0.1829268292682927,-0.0263671875,0.2177734375,0.9501953125
3,0.02,IMU0,2.1951219512195124,8.841463414634147,-9.634146341463415,-0.0263671875,0.2265625,0.9423828125
4,0.02,IMU1,-0.3658536585365854,0.7317073170731708,-0.06097560975609757,-0.04296875,0.1953125,0.9296875
5,0.02,IMU2,-0.30487804878048785,0.24390243902439027,0.1829268292682927,-0.0263671875,0.21875,0.9501953125
6,0.03,IMU0,2.1951219512195124,8.902439024390244,-9.634146341463415,-0.0263671875,0.2275390625,0.9423828125
7,0.03,IMU1,-0.30487804878048785,0.7926829268292683,-0.06097560975609757,-0.04296875,0.1953125,0.9296875
8,0.03,IMU2,-0.30487804878048785,0.24390243902439027,0.24390243902439027,-0.025390625,0.21875,0.94921875
9,0.04,IMU0,2.1951219512195124,8.902439024390244,-9.634146341463415,-0.0263671875,0.228515625,0.9404296875
10,0.04,IMU1,-0.30487804878048785,0.7926829268292683,-0.06097560975609757,-0.04296875,0.1962890625,0.9306640625
11,0.04,IMU2,-0.3658536585365854,0.1829268292682927,0.24390243902439027,-0.0244140625,0.21875,0.9501953125
12,0.05,IMU0,2.1951219512195124,8.902439024390244,-9.695121951219512,-0.0263671875,0.228515625,0.94140625
13,0.05,IMU1,-0.30487804878048785,0.7926829268292683,-0.06097560975609757,-0.04296875,0.1962890625,0.9306640625
14,0.05,IMU2,-0.3658536585365854,0.12195121951219513,0.24390243902439027,-0.025390625,0.2197265625,0.9501953125
15,0.06,IMU0,2.25609756097561,8.841463414634147,-9.634146341463415,-0.02734375,0.228515625,0.9423828125
16,0.06,IMU1,-0.30487804878048785,0.7926829268292683,-0.06097560975609757,-0.04296875,0.1962890625,0.931640625
17,0.06,IMU2,-0.3658536585365854,0.12195121951219513,0.1829268292682927,-0.025390625,0.21875,0.9501953125
18,0.07,IMU0,2.1951219512195124,8.841463414634147,-9.634146341463415,-0.02734375,0.228515625,0.943359375
19,0.07,IMU1,-0.30487804878048785,0.7926829268292683,-0.06097560975609757,-0.04296875,0.1953125,0.931640625
20,0.07,IMU2,-0.426829268292683,0.12195121951219513,0.1829268292682927,-0.025390625,0.2177734375,0.9482421875
21,0.08,IMU0,2.1341463414634148,8.841463414634147,-9.634146341463415,-0.0263671875,0.2275390625,0.9423828125
22,0.08,IMU1,-0.24390243902439027,0.7317073170731708,-0.06097560975609757,-0.04296875,0.1943359375,0.9326171875
23,0.08,IMU2,-0.3658536585365854,0.12195121951219513,0.1829268292682927,-0.0263671875,0.21875,0.9482421875
24,0.09,IMU0,2.1951219512195124,8.841463414634147,-9.695121951219512,-0.0263671875,0.228515625,0.943359375
25,0.09,IMU1,-0.24390243902439027,0.7317073170731708,-0.06097560975609757,-0.0439453125,0.193359375,0.9326171875
26,0.09,IMU2,-0.3658536585365854,0.06097560975609757,0.24390243902439027,-0.025390625,0.21875,0.9482421875
27,0.1,IMU0,2.1951219512195124,8.841463414634147,-9.634146341463415,-0.025390625,0.2275390625,0.943359375
28,0.1,IMU1,-0.24390243902439027,0.7926829268292683,0.0,-0.0439453125,0.19140625,0.9296875
29,0.1,IMU2,-0.30487804878048785,0.12195121951219513,0.1829268292682927,-0.0263671875,0.2177734375,0.947265625
30,0.11,IMU0,2.1951219512195124,8.902439024390244,-9.573170731707318,-0.02734375,0.2265625,0.9423828125
31,0.11,IMU1,-0.24390243902439027,0.7317073170731708,0.0,-0.0439453125,0.1923828125,0.9306640625
32,0.11,IMU2,-0.30487804878048785,0.1829268292682927,0.1829268292682927,-0.025390625,0.2177734375,0.9482421875
33,0.12,IMU0,2.1951219512195124,8.902439024390244,-9.573170731707318,-0.02734375,0.2255859375,0.94140625
34,0.12,IMU1,-0.24390243902439027,0.7926829268292683,0.0,-0.04296875,0.193359375,0.9326171875
35,0.12,IMU2,-0.3658536585365854,0.1829268292682927,0.24390243902439027,-0.025390625,0.216796875,0.94921875
36,0.13,IMU0,2.1951219512195124,8.902439024390244,-9.573170731707318,-0.0263671875,0.2265625,0.9423828125
37,0.13,IMU1,-0.30487804878048785,0.7317073170731708,0.0,-0.0439453125,0.193359375,0.9326171875
38,0.13,IMU2,-0.3658536585365854,0.12195121951219513,0.1829268292682927,-0.0263671875,0.2158203125,0.94921875
39,0.14,IMU0,2.25609756097561,8.902439024390244,-9.634146341463415,-0.0263671875,0.2265625,0.943359375
40,0.14,IMU1,-0.30487804878048785,0.6707317073170732,0.0,-0.04296875,0.193359375,0.9345703125
41,0.14,IMU2,-0.3658536585365854,0.12195121951219513,0.24390243902439027,-0.025390625,0.216796875,0.94921875
42,0.15,IMU0,2.25609756097561,8.902439024390244,-9.634146341463415,-0.02734375,0.2275390625,0.943359375
43,0.15,IMU1,-0.30487804878048785,0.6707317073170732,0.0,-0.0419921875,0.1943359375,0.9326171875
44,0.15,IMU2,-0.30487804878048785,0.12195121951219513,0.24390243902439027,-0.0263671875,0.2177734375,0.9482421875
45,0.16,IMU0,2.25609756097561,8.902439024390244,-9.634146341463415,-0.0263671875,0.2275390625,0.9423828125
46,0.16,IMU1,-0.30487804878048785,0.6707317073170732,-0.06097560975609757,-0.0419921875,0.1943359375,0.9326171875
47,0.16,IMU2,-0.3658536585365854,0.12195121951219513,0.1829268292682927,-0.025390625,0.216796875,0.94921875
48,0.17,IMU0,2.1951219512195124,8.902439024390244,-9.634146341463415,-0.02734375,0.228515625,0.94140625
49,0.17,IMU1,-0.30487804878048785,0.7317073170731708,-0.06097560975609757,-0.0419921875,0.1943359375,0.93359375
50,0.17,IMU2,-0.426829268292683,0.12195121951219513,0.1829268292682927,-0.0263671875,0.2177734375,0.9501953125
51,0.18,IMU0,2.1951219512195124,8.902439024390244,-9.634146341463415,-0.02734375,0.2294921875,0.943359375
52,0.18,IMU1,-0.30487804878048785,0.7317073170731708,-0.06097560975609757,-0.041015625,0.1943359375,0.9326171875
