,ts,height_cov,velocity_cov
0,0.069,0.3147139549255371,0.6959084868431091
1,0.079,0.3628992438316345,0.7932164669036865
2,0.089,0.41025885939598083,0.8893986940383911
3,0.099,0.45655015110969543,0.9841991066932678
4,0.109,0.5015197992324829,1.0773499011993408
5,0.119,0.5449086427688599,1.168577790260315
6,0.129,0.5864574313163757,1.2576115131378174
7,0.139,0.6259143352508545,1.3441895246505737
8,0.149,0.6630415320396423,1.4280674457550049
9,0.159,0.6976227760314941,1.5090252161026
10,0.169,0.7294695973396301,1.586874008178711
11,0.179,0.758427083492279,1.661461353302002
12,0.189,0.7843782305717468,1.7326756715774536
13,0.199,0.8072469830513,1.8004480600357056
14,0.209,0.826999306678772,1.8647538423538208
15,0.219,0.8436433672904968,1.9256112575531006
16,0.229,0.8572274446487427,1.983079433441162
17,0.239,0.8678370714187622,2.037254571914673
18,0.249,0.8755908608436584,2.0882654190063477
19,0.259,0.880635678768158,2.1362674236297607
20,0.269,0.883141040802002,2.1814377307891846
21,0.279,0.8832940459251404,2.223968505859375
22,0.289,0.8812934756278992,2.2640621662139893
23,0.299,0.8773448467254639,2.3019251823425293
24,0.309,0.8716558218002319,2.337763786315918
25,0.319,0.8644322156906128,2.371779680252075
26,0.329,0.8558744192123413,2.4041666984558105
27,0.339,0.8461744785308838,2.4351084232330322
28,0.349,0.8355144262313843,2.464775562286377
29,0.359,0.8240644931793213,2.4933254718780518
30,0.369,0.8119819760322571,2.520900249481201
31,0.379,0.7994112372398376,2.5476276874542236
32,0.389,0.7864829897880554,2.573619842529297
33,0.399,0.7733148336410522,2.5989742279052734
34,0.409,0.7600116729736328,2.623774766921997
35,0.419,0.7466660737991333,2.6480913162231445
36,0.429,0.733359158039093,2.6719815731048584
37,0.439,0.720161497592926,2.6954915523529053
38,0.449,0.7071337103843689,2.7186567783355713
39,0.459,0.6943275332450867,2.7415030002593994
40,0.469,0.6817865967750549,2.7640469074249268
41,0.479,0.6695472002029419,2.786297559738159
42,0.489,0.6576389074325562,2.8082571029663086
43,0.499,0.646085798740387,2.8299214839935303
44,0.509,0.634906530380249,2.851280689239502
45,0.519,0.6241154670715332,2.8723206520080566
46,0.529,0.6137227416038513,2.893022060394287
47,0.539,0.6037352681159973,2.913363218307495
48,0.549,0.5941567420959473,2.933318614959717
49,0.559,0.5849883556365967,2.952859878540039
50,0.569,0.57622891664505,2.971957206726074
51,0.579,0.5678755044937134,2.9905784130096436
52,0.589,0.5599234104156494,3.008690118789673
53,0.599,0.5523664951324463,3.0262575149536133
54,0.609,0.5451974868774414,3.043245315551758
55,0.619,0.5384079813957214,3.059617757797241
56,0.629,0.5319888591766357,3.075338363647461
57,0.639,0.5259303450584412,3.0903708934783936
