,ts,id,Gx,Gy,Gz,Ax,Ay,Az
0,0.0,IMU1,0.426829268292683,-4.817073170731708,0.853658536585366,-0.1982421875,-0.04296875,1.07421875
1,0.01,IMU0,11.219512195121952,-16.03658536585366,-5.0,-0.1728515625,0.041015625,1.07421875
2,0.01,IMU1,0.6097560975609757,-16.34146341463415,0.1829268292682927,-0.2119140625,-0.0537109375,1.0751953125
3,0.02,IMU0,11.219512195121952,-24.512195121951223,-4.75609756097561,-0.193359375,-0.0341796875,1.076171875
4,0.02,IMU1,0.6097560975609757,-24.390243902439025,0.48780487804878053,-0.2314453125,-0.130859375,1.076171875
5,0.03,IMU0,11.158536585365855,-19.75609756097561,-6.219512195121951,-0.2138671875,-0.0703125,1.0771484375
6,0.03,IMU1,0.7926829268292683,-19.695121951219512,-1.3414634146341464,-0.26171875,-0.162109375,1.0693359375
7,0.04,IMU0,12.073170731707318,-31.52439024390244,-7.8048780487804885,-0.2099609375,-0.0400390625,1.07421875
8,0.04,IMU1,1.402439024390244,-32.25609756097561,-2.7439024390243905,-0.2392578125,-0.12890625,1.0732421875
9,0.05,IMU0,11.463414634146343,-34.451219512195124,-1.0365853658536586,-0.1162109375,-0.00390625,1.08203125
10,0.05,IMU1,0.5487804878048781,-33.90243902439025,4.51219512195122,-0.138671875,-0.0966796875,1.0830078125
11,0.06,IMU0,10.853658536585368,-16.28048780487805,5.2439024390243905,-0.0078125,0.02734375,1.0830078125
12,0.06,IMU1,-0.1829268292682927,-14.756097560975611,11.097560975609756,-0.0380859375,-0.0654296875,1.087890625
13,0.07,IMU0,11.646341463414634,8.048780487804878,7.560975609756098,0.0546875,0.27734375,1.0849609375
14,0.07,IMU1,0.7926829268292683,9.695121951219512,13.902439024390246,0.0244140625,0.1982421875,1.095703125
15,0.08,IMU0,10.731707317073171,24.695121951219516,4.390243902439025,0.0673828125,0.2783203125,1.08984375
16,0.08,IMU1,0.24390243902439027,24.81707317073171,11.158536585365855,0.01171875,0.18359375,1.1015625
17,0.09,IMU0,11.158536585365855,27.439024390243905,-5.731707317073171,-0.029296875,0.21484375,1.087890625
18,0.09,IMU1,1.1585365853658538,28.292682926829272,0.5487804878048781,-0.08203125,0.115234375,1.09375
19,0.1,IMU0,11.829268292682928,21.097560975609756,-9.939024390243903,-0.103515625,0.1064453125,1.0908203125
20,0.1,IMU1,1.7682926829268295,22.378048780487806,-4.146341463414634,-0.1455078125,0.0078125,1.0888671875
21,0.11,IMU0,11.585365853658537,11.890243902439025,-10.24390243902439,-0.1083984375,0.052734375,1.0849609375
22,0.11,IMU1,1.6463414634146343,12.926829268292684,-4.695121951219512,-0.1455078125,-0.04296875,1.0849609375
23,0.12,IMU0,11.219512195121952,3.7195121951219514,-9.939024390243903,-0.107421875,0.0322265625,1.080078125
24,0.12,IMU1,1.0975609756097562,4.634146341463415,-4.573170731707317,-0.1435546875,-0.060546875,1.080078125
25,0.13,IMU0,10.975609756097562,-2.804878048780488,-8.292682926829269,-0.1162109375,0.0419921875,1.080078125
26,0.13,IMU1,0.7317073170731708,-2.1341463414634148,-2.987804878048781,-0.15234375,-0.048828125,1.0810546875
27,0.14,IMU0,10.792682926829269,-6.829268292682928,-6.951219512195123,-0.1083984375,0.0537109375,1.080078125
28,0.14,IMU1,0.5487804878048781,-6.341463414634147,-1.6463414634146343,-0.14453125,-0.0380859375,1.0830078125
29,0.15,IMU0,10.975609756097562,-7.500000000000001,-6.341463414634147,-0.08984375,0.060546875,1.0849609375
30,0.15,IMU1,0.6097560975609757,-7.25609756097561,-0.853658536585366,-0.12890625,-0.03125,1.0869140625
31,0.16,IMU0,11.219512195121952,-2.1341463414634148,-5.914634146341464,-0.068359375,0.0625,1.0888671875
32,0.16,IMU1,0.7317073170731708,-1.9512195121951221,-0.3658536585365854,-0.1064453125,-0.0302734375,1.08984375
33,0.17,IMU0,11.28048780487805,8.353658536585366,-5.060975609756098,-0.0390625,0.0751953125,1.095703125
34,0.17,IMU1,0.853658536585366,8.597560975609756,0.6097560975609757,-0.0771484375,-0.0185546875,1.099609375
35,0.18,IMU0,11.097560975609756,23.658536585365855,-3.353658536585366,-0.0419921875,0.0791015625,1.08984375
36,0.18,IMU1,0.853658536585366,24.02439024390244,2.804878048780488,-0.078125,-0.0166015625,1.0947265625
37,0.19,IMU0,10.487804878048781,27.31707317073171,0.48780487804878053,-0.056640625,0.1083984375,1.0966796875
38,0.19,IMU1,0.24390243902439027,27.926829268292686,6.7682926829268295,-0.0869140625,0.0146484375,1.1005859375
39,0.2,IMU0,8.597560975609756,4.207317073170732,12.256097560975611,-0.0419921875,0.091796875,1.0927734375
40,0.2,IMU1,-2.3170731707317076,4.817073170731708,18.04878048780488,-0.0654296875,0.0029296875,1.0986328125
41,0.21,IMU0,5.975609756097562,-19.207317073170735,26.09756097560976,0.1064453125,0.095703125,1.1240234375
42,0.21,IMU1,-5.609756097560976,-19.634146341463417,31.646341463414636,0.0869140625,0.001953125,1.13671875
43,0.22,IMU0,-2.9268292682926833,-34.87804878048781,40.0,0.2001953125,0.0546875,1.251953125
44,0.22,IMU1,-15.426829268292684,-35.73170731707317,45.73170731707317,0.1640625,-0.04296875,1.265625
45,0.23,IMU0,-17.5,-53.35365853658537,33.170731707317074,0.216796875,-0.0078125,1.4052734375
46,0.23,IMU1,-30.243902439024392,-53.84146341463415,38.65853658536586,0.1474609375,-0.11328125,1.431640625
47,0.24,IMU0,-38.963414634146346,-83.29268292682927,11.341463414634147,0.1357421875,0.0458984375,1.6455078125
48,0.24,IMU1,-52.13414634146342,-83.47560975609757,15.487804878048783,0.0595703125,-0.0703125,1.67578125
49,0.25,IMU0,-59.81707317073171,-126.21951219512196,-2.1951219512195124,-0.078125,0.123046875,1.9501953125
50,0.25,IMU1,-73.78048780487805,-126.28048780487806,0.1829268292682927,-0.1435546875,0.0,1.9697265625
51,0.26,IMU0,-70.42682926829269,-173.59756097560978,-1.524390243902439,-0.3134765625,0.0966796875,2.2197265625
52,0.26,IMU1,-85.42682926829269,-174.32926829268294,-0.3658536585365854,-0.3759765625,-0.033203125,2.2236328125
53,0.27,IMU0,-72.31707317073172,-205.91463414634148,3.7195121951219514,-0.3984375,0.0869140625,2.42578125
54,0.27,IMU1,-87.8658536585366,-207.56097560975613,4.2682926829268295,-0.4716796875,-0.0537109375,2.421875
55,0.28,IMU0,-69.14634146341464,-223.0487804878049,12.01219512195122,-0.34765625,0.203125,2.6728515625
56,0.28,IMU1,-85.00000000000001,-225.2439024390244,12.134146341463415,-0.419921875,0.0498046875,2.6650390625
57,0.29,IMU0,-56.646341463414636,-234.39024390243904,28.59756097560976,-0.2607421875,0.34375,2.8994140625
58,0.29,IMU1,-72.5,-237.31707317073173,28.84146341463415,-0.3291015625,0.1826171875,2.8857421875
59,0.3,IMU0,-30.000000000000004,-261.70731707317077,49.024390243902445,-0.15625,0.33984375,3.0390625
60,0.3,IMU1,-45.670731707317074,-265.4268292682927,49.39024390243903,-0.2314453125,0.1767578125,3.01953125
61,0.31,IMU0,8.719512195121952,-252.07317073170734,62.6829268292683,0.103515625,0.181640625,3.00390625
62,0.31,IMU1,-5.914634146341464,-257.19512195121956,64.08536585365854,0.0185546875,0.017578125,2.974609375
63,0.32,IMU0,50.60975609756098,-189.93902439024393,65.54878048780489,0.265625,0.0927734375,2.9072265625
64,0.32,IMU1,38.04878048780488,-194.93902439024393,68.90243902439025,0.16796875,-0.0712890625,2.880859375
65,0.33,IMU0,83.78048780487805,-109.81707317073172,53.84146341463415,0.2841796875,0.1328125,2.892578125
66,0.33,IMU1,73.71951219512195,-113.71951219512196,59.085365853658544,0.1796875,-0.03125,2.8828125
67,0.34,IMU0,104.20731707317074,-47.926829268292686,38.90243902439025,0.2001953125,0.1435546875,2.8876953125
68,0.34,IMU1,95.79268292682927,-50.36585365853659,45.487804878048784,0.0908203125,-0.017578125,2.8876953125
69,0.35,IMU0,116.70731707317074,-11.158536585365855,16.646341463414636,0.1181640625,0.0400390625,2.7802734375
70,0.35,IMU1,109.69512195121952,-12.317073170731708,23.719512195121954,0.001953125,-0.1142578125,2.78125
71,0.36,IMU0,124.26829268292684,14.085365853658537,-9.207317073170733,0.099609375,-0.072265625,2.544921875
72,0.36,IMU1,118.65853658536587,13.963414634146343,-2.1341463414634148,-0.009765625,-0.21875,2.546875
73,0.37,IMU0,127.37804878048782,41.890243902439025,-29.695121951219516,0.10546875,-0.078125,2.2333984375
74,0.37,IMU1,122.62195121951221,42.6829268292683,-22.378048780487806,0.013671875,-0.2138671875,2.2421875
75,0.38,IMU0,124.63414634146342,68.35365853658537,-43.84146341463415,0.1328125,-0.0751953125,1.9287109375
