,ts,q0_estimated,q1_estimated,q2_estimated,q3_estimated,q0_raw,q1_raw,q2_raw,q3_raw
0,-0.009,6.5,-0.645,-0.128,7.57,6.5,-0.645,-0.128,7.57
1,0.001,6.514,-0.659,-0.17,7.556,6.514,-0.659,-0.17,7.556
2,0.011,6.531,-0.632,-0.267,7.541,6.531,-0.632,-0.267,7.541
3,0.021,6.553,-0.604,-0.386,7.519,6.553,-0.604,-0.386,7.519
4,0.031,6.577,-0.591,-0.45,7.495,6.577,-0.591,-0.45,7.495
5,0.041,6.587,-0.536,-0.411,7.493,6.587,-0.536,-0.411,7.493
6,0.051,6.566,-0.444,-0.295,7.523,6.566,-0.444,-0.295,7.523
7,0.061,6.523,-0.489,-0.05,7.563,6.523,-0.489,-0.05,7.563
8,0.071,6.46,-0.523,0.137,7.613,6.46,-0.523,0.137,7.613
9,0.081,6.392,-0.582,0.236,7.664,6.392,-0.582,0.236,7.664
10,0.091,6.35,-0.617,0.201,7.697,6.35,-0.617,0.201,7.697
11,0.101,6.329,-0.611,0.132,7.716,6.329,-0.611,0.132,7.716
12,0.111,6.322,-0.59,0.066,7.724,6.322,-0.59,0.066,7.724
13,0.121,6.324,-0.582,0.018,7.724,6.324,-0.582,0.018,7.724
14,0.131,6.328,-0.575,-0.004,7.721,6.328,-0.575,-0.004,7.721
15,0.141,6.328,-0.559,-0.004,7.722,6.328,-0.559,-0.004,7.722
16,0.151,6.323,-0.533,0.008,7.728,6.323,-0.533,0.008,7.728
17,0.161,6.31,-0.504,0.041,7.74,6.31,-0.504,0.041,7.74
18,0.171,6.299,-0.495,0.062,7.75,6.299,-0.495,0.062,7.75
19,0.181,6.296,-0.517,0.089,7.751,6.296,-0.517,0.089,7.751
20,0.191,6.296,-0.5,0.117,7.751,6.296,-0.5,0.117,7.751
21,0.201,6.274,-0.404,0.207,7.773,6.274,-0.404,0.207,7.773
22,0.211,6.248,-0.376,0.228,7.795,6.248,-0.376,0.228,7.795
23,0.221,6.209,-0.328,0.249,7.827,6.209,-0.328,0.249,7.827
24,0.231,6.147,-0.247,0.27,7.879,6.147,-0.247,0.27,7.879
25,0.241,6.055,-0.125,0.298,7.951,6.055,-0.125,0.298,7.951
26,0.251,5.938,0.036,0.34,8.038,5.938,0.036,0.34,8.038
27,0.261,5.796,0.225,0.392,8.135,5.796,0.225,0.392,8.135
28,0.271,5.636,0.428,0.448,8.237,5.636,0.428,0.448,8.237
29,0.281,5.449,0.637,0.506,8.344,5.449,0.637,0.506,8.344
30,0.291,5.263,0.858,0.585,8.438,5.263,0.858,0.585,8.438
31,0.301,5.08,1.061,0.675,8.52,5.08,1.061,0.675,8.52
32,0.311,4.907,1.203,0.761,8.596,4.907,1.203,0.761,8.596
33,0.321,4.742,1.273,0.835,8.671,4.742,1.273,0.835,8.671
