,ts,height,velocity,acceleration
0,18799661,0.0703766942024231,0.08721200376749039,0.009513761848211288
1,18799671,0.07713857293128967,0.09420710802078247,0.009622674435377121
2,18799681,0.08471745997667313,0.10117708146572113,0.009729699231684208
3,18799691,0.0922408252954483,0.108026422560215,0.009834830649197102
4,18799701,0.09970778971910477,0.1147548258304596,0.009938064962625504
5,18799711,0.10711750388145447,0.12136203050613403,0.01003939751535654
6,18799721,0.11446914076805115,0.127847820520401,0.01013882551342249
7,18799731,0.11648034304380417,0.12861572206020355,0.0004957085475325584
8,18799741,0.11488465964794159,0.1256166249513626,0.0004489310085773468
9,18799751,0.11328302323818207,0.12263944000005722,0.00040250085294246674
10,18799761,0.10815013200044632,0.11600292474031448,0.0002990942448377609
11,18799771,0.10120309889316559,0.10753346979618073,0.00016715936362743378
12,18799781,0.0942859947681427,0.0991760790348053,3.698933869600296e-05
13,18799791,0.08743201941251755,0.09096487611532211,-9.088590741157532e-05
14,18799801,0.08061019331216812,0.08286644518375397,-0.0002169860526919365
15,18799811,0.073789581656456,0.07484766840934753,-0.00034182798117399216
16,18799821,0.06703583151102066,0.06697697192430496,-0.0004643453285098076
17,18799831,0.06216198951005936,0.06115565821528435,-0.0005549294874072075
18,18799841,0.05731252208352089,0.0554170235991478,-0.0006442125886678696
19,18799851,0.05248825624585152,0.04976137354969978,-0.0007321899756789207
20,18799861,0.04768999293446541,0.0441889613866806,-0.0008188579231500626
21,18799871,0.04291851446032524,0.038700006902217865,-0.0009042127057909966
22,18799881,0.0381745919585228,0.03329470008611679,-0.0009882524609565735
23,18799891,0.03345896676182747,0.027973182499408722,-0.0010709743946790695
24,18799901,0.02877236157655716,0.02273556962609291,-0.00115237757563591
25,18799911,0.02411547861993313,0.017581937834620476,-0.0012324601411819458
26,18799921,0.015929438173770905,0.00876371469348669,-0.0013696029782295227
27,18799931,0.007800085470080376,9.443983435630798e-05,-0.001504405401647091
28,18799941,0.0015764478594064713,-0.006478938274085522,-0.0016065454110503197
29,18799951,-0.000930571579374373,-0.009068666025996208,-0.0016466276720166206
30,18799961,-0.0034137959592044353,-0.011606890708208084,-0.00168590247631073
31,18799971,-0.005877670831978321,-0.014098755083978176,-0.00172444898635149
32,18799981,-0.00829118862748146,-0.016511978581547737,-0.0017617642879486084
33,18799991,-0.005104733631014824,-0.012995313853025436,-0.0017067203298211098
34,18800001,-0.00566876819357276,-0.013470068573951721,-0.0017138486728072166
35,18800011,-0.006227124482393265,-0.013933932408690453,-0.0017208065837621689
36,18800021,-0.00677976431325078,-0.014386968687176704,-0.0017275940626859665
37,18800031,-0.007326650898903608,-0.014829243533313274,-0.0017342129722237587
38,18800041,-0.007867751643061638,-0.015260824002325535,-0.0017406642436981201
39,18800051,-0.008403035812079906,-0.015681780874729156,-0.0017469497397542
40,18800061,-0.008932474069297314,-0.016092190518975258,-0.0017530694603919983
41,18800071,-0.01131302397698164,-0.018450777977705002,-0.0017895298078656197
42,18800081,-0.021098192781209946,-0.028594426810741425,-0.0019472315907478333
43,18800091,-0.030850451439619064,-0.03859736770391464,-0.0021027177572250366
44,18800101,-0.04052043706178665,-0.048408884555101395,-0.0022551976144313812
45,18800111,-0.05005910247564316,-0.05797915533185005,-0.002403896301984787
46,18800121,-0.059405699372291565,-0.06724655628204346,-0.0025478545576334
47,18800131,-0.06877708435058594,-0.07644281536340714,-0.0026906821876764297
48,18800141,-0.07806310057640076,-0.08545245230197906,-0.002830580808222294
49,18800151,-0.08726298809051514,-0.094276562333107,-0.00296756811439991
50,18800161,-0.0962672233581543,-0.102801613509655,-0.003099876455962658
51,18800171,-0.10511420667171478,-0.11097513139247894,0.006426806561648846
52,18800181,-0.11207554489374161,-0.11707594245672226,0.006330790929496288
53,18800191,-0.1207636371254921,-0.12483520060777664,0.015863411128520966
54,18800201,-0.12935897707939148,-0.13174255192279816,0.0833316445350647
55,18800211,-0.13784605264663696,-0.13606178760528564,0.3246021270751953
56,18800221,-0.14243991672992706,-0.13623666763305664,0.3245488405227661
57,18800231,-0.14694680273532867,-0.13631799817085266,0.3244970440864563
58,18800241,-0.15121863782405853,-0.13615097105503082,0.3244490921497345
59,18800251,-0.15539084374904633,-0.13280721008777618,0.6333786845207214
60,18800261,-0.15941749513149261,-0.12636785209178925,0.9326549172401428
61,18800271,-0.1633027046918869,-0.11984727531671524,0.9326112270355225
62,18800281,-0.16703610122203827,-0.11323542892932892,0.9325689077377319
63,18800291,-0.16869136691093445,-0.1045084223151207,0.932559609413147
64,18800301,-0.17212772369384766,-0.08910057693719864,1.8015146255493164
65,18800311,-0.17530755698680878,-0.06330777704715729,2.8346140384674072
66,18800321,-0.1780722588300705,-0.019484683871269226,4.630501747131348
67,18800331,-0.1802750825881958,0.04041246697306633,6.233278274536133
68,18800341,-0.18171928822994232,0.11469259113073349,7.662258148193359
69,18800351,-0.1823635995388031,0.19806143641471863,8.569839477539062
70,18800361,-0.18215768039226532,0.28586605191230774,9.013957977294922
71,18800371,-0.1810709536075592,0.37895649671554565,9.544974327087402
72,18800381,-0.18478725850582123,0.4691067039966583,9.853818893432617
73,18800391,-0.18181687593460083,0.5699343681335449,10.31724739074707
74,18800401,-0.1779080182313919,0.6730902791023254,10.558597564697266
75,18800411,-0.17877604067325592,0.7720798850059509,10.75157642364502
76,18800421,-0.17050081491470337,0.8829750418663025,11.089518547058105
77,18800431,-0.16111470758914948,0.9942564368247986,11.128140449523926
78,18800441,-0.15061239898204803,1.1062136888504028,11.19572925567627
79,18800451,-0.13898666203022003,1.218943476676941,11.27297306060791
80,18800461,-0.12623170018196106,1.3320595026016235,11.31159496307373
81,18800471,-0.11233880370855331,1.4465272426605225,11.446772575378418
82,18800481,-0.09729206562042236,1.562829613685608,11.630227088928223
83,18800491,-0.08107553422451019,1.6804836988449097,11.765402793884277
84,18800501,-0.06368198245763779,1.7982343435287476,11.775059700012207
85,18800511,-0.045108992606401443,1.91637122631073,11.813681602478027
86,18800521,-0.025345945730805397,2.0362460613250732,11.987481117248535
87,18800531,-0.004380225669592619,2.156893253326416,12.064724922180176
88,18800541,0.01779196225106716,2.277540445327759,12.064724922180176
89,18800551,0.04117446392774582,2.3989601135253906,12.141968727111816
90,18800561,0.06578128784894943,2.522407293319702,12.344735145568848
91,18800571,0.09162592887878418,2.6465303897857666,12.412323951721191
92,18800581,0.11871568858623505,2.77142596244812,12.4895658493042
93,18800591,0.14706405997276306,2.8982527256011963,12.682677268981934
94,18800601,0.17668598890304565,3.02614164352417,12.788887977600098
95,18800611,0.20759309828281403,3.155285596847534,12.914410591125488
96,18800621,0.2397949993610382,3.2851054668426514,12.9819974899292
97,18800631,0.2732955515384674,3.4150218963623047,12.991654396057129
98,18800641,0.3080991208553314,3.545710802078247,13.06889820098877
99,18800651,0.34421536326408386,3.677558422088623,13.18476390838623
100,18800661,0.3816539943218231,3.810178518295288,13.262007713317871
101,18800671,0.42042267322540283,3.943571090698242,13.339253425598145
102,18800681,0.4605349004268646,4.07889461517334,13.532362937927246
103,18800691,0.5020012855529785,4.214411735534668,13.551674842834473
104,18800701,0.5448262691497803,4.35060453414917,13.619263648986816
105,18800711,0.5890132188796997,4.486797332763672,13.619263648986816
106,18800721,0.634562611579895,4.623086452484131,13.62891674041748
107,18800731,0.6814762949943542,4.759665489196777,13.657885551452637
108,18800741,0.7297558188438416,4.896244525909424,13.657885551452637
109,18800751,0.7793996930122375,5.032533645629883,13.62891674041748
110,18800761,0.8304064273834229,5.168822765350342,13.62891674041748
111,18800771,0.8827760815620422,5.305111885070801,13.62891674041748
112,18800781,0.9365100264549255,5.441690921783447,13.657885551452637
113,18800791,0.9916102886199951,5.578366279602051,13.6675386428833
114,18800801,1.0480806827545166,5.715717792510986,13.735127449035645
115,18800811,1.1059318780899048,5.854517459869385,13.879960060119629
116,18800821,1.165189504623413,5.996986389160156,14.246869087219238
117,18800831,1.2258732318878174,6.139744758605957,14.275837898254395
118,18800841,1.2879887819290161,6.283372402191162,14.362736701965332
119,18800851,1.3515419960021973,6.4272894859313965,14.391703605651855
120,18800861,1.4165388345718384,6.572075843811035,14.478604316711426
121,18800871,1.4829840660095215,6.716958522796631,14.488259315490723
122,18800881,1.5508780479431152,6.861841201782227,14.488259315490723
123,18800891,1.620222806930542,7.007110118865967,14.52687931060791
124,18800901,1.6910260915756226,7.153537750244141,14.642746925354004
125,18800911,1.7633037567138672,7.301992893218994,14.845511436462402
126,18800921,1.8370665311813354,7.450544834136963,14.855168342590332
127,18800931,1.9123198986053467,7.60015869140625,14.961379051208496
128,18800941,1.989075779914856,7.751028060913086,15.086899757385254
129,18800951,2.0673444271087646,7.902766227722168,15.173800468444824
130,18800961,2.147134304046631,8.055276870727539,15.251042366027832
131,18800971,2.228456497192383,8.209138870239258,15.38621997833252
132,18800981,2.311317205429077,8.363000869750977,15.38621997833252
133,18800991,2.395719051361084,8.517346382141113,15.43449878692627
134,18801001,2.4816651344299316,8.671884536743164,15.453810691833496
135,18801011,2.5691564083099365,8.826422691345215,15.453810691833496
136,18801021,2.658200263977051,8.982409477233887,15.598641395568848
137,18801031,2.7488105297088623,9.13965129852295,15.724164009094238
138,18801041,2.840996026992798,9.29747200012207,15.782097816467285
139,18801051,2.9347596168518066,9.455292701721191,15.782097816467285
140,18801061,3.0301125049591064,9.615334510803223,16.004175186157227
141,18801071,3.1270711421966553,9.77643871307373,16.110383987426758
142,18801081,3.2256410121917725,9.937542915344238,16.110383987426758
143,18801091,3.325822114944458,10.098647117614746,16.110383987426758
144,18801101,3.427614212036133,10.259751319885254,16.110383987426758
