,ts,Ax,Ay,Az
257,19956,0,-1,0
258,19966,-1,-2,0
259,19976,-1,-1,0
260,19986,-1,-1,0
261,19996,0,0,0
262,20006,0,-2,0
263,20016,0,-1,0
264,20026,0,-2,0
265,20036,0,-1,0
266,20046,0,-1,0
267,20056,0,0,0
268,20066,-1,-2,0
269,20076,0,0,0
270,20086,-1,-2,0
271,20096,0,-1,0
272,20106,-1,-1,0
273,20116,0,-1,0
274,20126,-1,-2,0
275,20136,0,-1,0
276,20146,0,-2,0
277,20156,-1,0,0
278,20166,-1,-2,0
279,20176,-1,-1,0
280,20186,0,-1,0
281,20196,-1,-1,0
282,20206,0,-1,0
283,20216,-1,-1,0
284,20226,-1,-1,0
285,20236,0,-1,0
286,20246,-1,-2,0
287,20256,0,-1,0
288,20266,0,-2,0
289,20276,0,-1,0
290,20286,0,-2,0
291,20296,0,-1,0
292,20306,-1,-1,0
293,20316,0,-1,0
294,20326,-1,-1,0
295,20336,0,-2,0
296,20346,0,0,0
297,20356,0,-2,0
298,20366,0,0,0
299,20376,-1,-1,0
300,20386,0,-1,0
301,20396,-1,-1,0
302,20406,0,-1,0
303,20416,0,-1,0
304,20426,0,-1,0
305,20436,0,-1,0
306,20446,-1,-1,0
307,20456,0,-1,0
308,20466,-1,-2,0
309,20476,0,-1,0
310,20486,-1,-1,0
311,20496,0,0,0
312,20506,0,-1,0
313,20516,0,-1,0
314,20526,0,-1,0
315,20536,0,-1,0
316,20546,0,-1,0
317,20556,0,-1,0
318,20566,0,-1,0
319,20576,0,-1,0
320,20586,0,-1,0
321,20596,0,-1,0
322,20606,0,-2,0
323,20616,0,-1,0
324,20626,0,-1,0
325,20636,0,0,0
326,20646,0,-1,0
327,20656,0,-1,0
328,20666,0,-1,0
329,20676,0,-1,0
330,20686,0,-1,0
331,20696,0,0,0
332,20706,0,-1,0
333,20716,0,-1,0
334,20726,-1,-2,0
335,20736,0,0,0
336,20746,-1,-2,0
337,20756,0,-1,0
