,ts,height,velocity,acceleration,lower_bound,upper_bound
0,33957,-0.8450541496276855,0.10911396145820618,-0.06620174646377563,0.15629677494251348,-1.8464050741978846
1,33967,-0.844191312789917,0.10820603370666504,-0.059895291924476624,0.15715418761994737,-1.8455368131997814
2,33977,-0.8466487526893616,0.1029437854886055,-0.04113670438528061,0.1546913570135291,-1.8479888623922522
3,33987,-0.8515560626983643,0.0946420431137085,-0.016192618757486343,0.14977865626853148,-1.85289078166526
4,33997,-0.8597022891044617,0.08175677806138992,-0.04197559505701065,0.14162707258051976,-1.861031650789443
5,34007,-0.8677539229393005,0.06904752552509308,-0.05510779470205307,0.13357004795182292,-1.869077893830424
6,34017,-0.8724218606948853,0.06108679622411728,-0.06172524392604828,0.12889675285681923,-1.8737404742465897
7,34027,-0.8770410418510437,0.05326787009835243,-0.06517621129751205,0.12427218084893799,-1.8783542645510254
8,34037,-0.8816109299659729,0.045683715492486954,-0.05914141610264778,0.11969696882090308,-1.8829188287528489
9,34047,-0.8992995619773865,0.020204804837703705,-0.0601523220539093,0.1020029793840791,-1.900602103338852
10,34057,-0.9035886526107788,0.013446656987071037,-0.06040231138467789,0.09770853129661128,-1.904885836518169
11,34067,-0.9209959506988525,-0.011247854679822922,-0.06453840434551239,0.08029590921015295,-1.922287810607858
12,34077,-0.928298830986023,-0.021783694624900818,-0.06809796392917633,0.07298773838082262,-1.9295854003528685
13,34087,-0.9322117567062378,-0.027528688311576843,-0.06830337643623352,0.06906945512107265,-1.9334929685335482
14,34097,-0.9237570762634277,-0.016200367361307144,-0.06465809047222137,0.07751881148057116,-1.9250329640074266
15,34107,-0.9121257066726685,-0.0005395542830228806,-0.051364749670028687,0.08914489044477625,-1.9133963037901132
16,34117,-0.9006555080413818,0.014974248595535755,-0.022292079403996468,0.10060976493630891,-1.9019207810190726
17,34127,-0.8893443942070007,0.03015737049281597,-0.012193625792860985,0.11191555460262581,-1.8906043430166273
18,34137,-0.8781887292861938,0.0455210916697979,0.04843814671039581,0.12306592881265699,-1.8794433873850447
19,34147,-0.8671833872795105,0.06094459444284439,0.09641492366790771,0.13406598008060833,-1.8684327546396293
20,34157,-0.8563199639320374,0.0771598070859909,0.21704153716564178,0.14492411266139205,-1.8575640405254668
21,34167,-0.8455913662910461,0.09328709542751312,0.24918757379055023,0.15564741950773642,-1.8468301520898287
22,34177,-0.8349883556365967,0.11065801233053207,0.41401225328445435,0.1662451058532728,-1.8362218171264661
23,34187,-0.8244951367378235,0.12930820882320404,0.5819807052612305,0.17673300041481976,-1.8257232738904667
24,34197,-0.8173879981040955,0.14403583109378815,0.6802431344985962,0.18383484816967144,-1.8186108443778624
25,34207,-0.8069465756416321,0.18256071209907532,2.636415719985962,0.1942709462384582,-1.8081640975217224
26,34217,-0.7963371872901917,0.23626145720481873,4.194485187530518,0.20487504365492626,-1.7975494182353096
27,34227,-0.7854127883911133,0.30594736337661743,5.834681510925293,0.21579415159107218,-1.7866197283732987
28,34237,-0.7740668058395386,0.38329291343688965,6.643933296203613,0.2271348431517537,-1.7752684548308308
29,34247,-0.7620419263839722,0.4930514097213745,9.920679092407227,0.2391544315884655,-1.7632382843564098
30,34257,-0.749204158782959,0.6168259382247925,11.371257781982422,0.2519869416303888,-1.7503952591963068
31,34267,-0.7355096340179443,0.7400818467140198,11.371642112731934,0.26567620880870435,-1.736695476844593
32,34277,-0.7209866046905518,0.8627873659133911,11.372004508972168,0.28019394703371026,-1.7221671564148138
33,34287,-0.7056628465652466,0.9849116802215576,11.372343063354492,0.29551241402866624,-1.7068381071591594
34,34297,-0.6788876056671143,1.1210709810256958,11.373246192932129,0.322282430745348,-1.6800576420795765
35,34307,-0.6515017747879028,1.2583742141723633,11.592108726501465,0.34966300392724325,-1.652666553503049
36,34317,-0.6210492253303528,1.399169921875,11.7099609375,0.38011029565986587,-1.6222087463205714
37,34327,-0.5900510549545288,1.5387921333312988,11.710866928100586,0.4111032082831505,-1.5912053181922081
38,34337,-0.5585334897041321,1.6772205829620361,11.711724281311035,0.44261551575339597,-1.5596824951616601
39,34347,-0.5265387296676636,1.81102454662323,11.371315002441406,0.4746050514714091,-1.5276825108067362
40,34357,-0.48094409704208374,1.9616543054580688,11.372797966003418,0.5201944597512709,-1.4820826538354384
41,34367,-0.43511804938316345,2.1105499267578125,11.374211311340332,0.5660152830372105,-1.4362513818035374
42,34377,-0.3989606499671936,2.2441563606262207,11.375008583068848,0.6021674580529364,-1.4000887579873236
43,34387,-0.3493407666683197,2.3937435150146484,11.310126304626465,0.6517820834342944,-1.3504636167709339
44,34397,-0.3127528727054596,2.5234196186065674,11.310791015625,0.6883647864323905,-1.3138705318433097
45,34407,-0.27918046712875366,2.6471879482269287,11.311219215393066,0.7219320010174162,-1.2802929352749235
46,34417,-0.24531985819339752,2.769658327102661,11.311594009399414,0.7557873854436457,-1.2464271018304407
47,34427,-0.21446390450000763,2.886331796646118,11.311737060546875,0.7866381146006431,-1.2155659236006584
48,34437,-0.1831655502319336,3.031068801879883,14.237455368041992,0.8179312443050593,-1.1842623447689264
49,34447,-0.15130604803562164,3.174591064453125,14.23750114440918,0.8497855888925541,-1.1523976849637974
50,34457,-0.11891241371631622,3.316878080368042,14.23749828338623,0.8821740320852447,-1.1199988595178771
51,34467,-0.07533933967351913,3.472546100616455,14.238030433654785,0.9257419149745085,-1.0764205943215468
52,34477,-0.028137940913438797,3.6310603618621826,14.238676071166992,0.9729381225541363,-1.0292140043810138
53,34487,0.019150875508785248,3.751317262649536,10.593278884887695,1.0202217477689883,-0.9819199967514178
54,34497,0.07924473285675049,3.840770721435547,5.890122413635254,1.0803104138826614,-0.9218209481691604
55,34507,0.1383693516254425,3.884159564971924,1.509138822555542,1.139429841390141,-0.8626911381392559
56,34517,0.19631598889827728,3.925348997116089,1.5101819038391113,1.1973712873748428,-0.8047393095782882
57,34527,0.2530951499938965,3.9643826484680176,1.5111380815505981,1.2541452571554077,-0.7479549571676147
58,34537,0.308666855096817,3.9909112453460693,0.47255977988243103,1.3097118044089673,-0.6923780942153333
59,34547,0.3629847466945648,4.013733386993408,0.30905842781066895,1.3640245381307785,-0.6380550447416489
60,34557,0.43250489234924316,4.045708656311035,-0.8362009525299072,1.4335394588970223,-0.568529674198536
61,34567,0.4971671998500824,4.07041072845459,-0.8538306355476379,1.4981966084684268,-0.503862208768262
62,34577,0.5603199005126953,4.092717170715332,-0.8526003956794739,1.5613441511750283,-0.4407043501496377
63,34587,0.6218878626823425,4.0936360359191895,-2.756594657897949,1.6229069553620865,-0.37913122999740145
64,34597,0.6816010475158691,4.051689147949219,-6.815404415130615,1.682615015680098,-0.3194129206483598
65,34607,0.7357271313667297,3.9564778804779053,-11.465296745300293,1.7367359749892095,-0.26528171225575004
66,34617,0.7742923498153687,3.841240406036377,-11.465319633483887,1.77529603537587,-0.2267113357451327
