,ts,event,out_idx
0,592840,EV_LIFTOFF,7
1,598550,EV_MAX_V,0
2,619130,EV_APOGEE,2
3,619130,EV_APOGEE,1
4,621130,EV_APOGEE,2
5,837080,EV_MAIN_DEPLOYMENT,3
6,837080,EV_MAIN_DEPLOYMENT,1
7,839080,EV_MAIN_DEPLOYMENT,3
