,ts,latitude,longitude,satellites
0,592100,39.389984130859375,-8.289515495300293,11
1,592300,39.389984130859375,-8.289515495300293,11
2,592500,39.389984130859375,-8.289515495300293,11
3,592700,39.389984130859375,-8.289515495300293,11
4,592900,39.389984130859375,-8.28951644897461,11
5,593100,39.389984130859375,-8.28951644897461,11
6,593200,39.389984130859375,-8.289511680603027,11
7,593300,39.389984130859375,-8.28950023651123,11
8,593600,39.38998031616211,-8.289485931396484,11
9,593700,39.389976501464844,-8.289469718933105,11
10,593900,39.389976501464844,-8.289454460144043,6
11,594100,39.38998031616211,-8.289427757263184,10
12,594400,39.389984130859375,-8.289403915405273,9
13,594500,39.389984130859375,-8.289403915405273,9
14,594800,39.38999938964844,-8.289348602294922,9
15,594900,39.389991760253906,-8.289324760437012,8
16,595100,39.38999557495117,-8.289280891418457,9
17,595300,39.38999557495117,-8.2892427444458,11
18,595800,39.38998794555664,-8.289146423339844,11
19,595900,39.38998794555664,-8.289146423339844,11
20,596000,39.38996887207031,-8.289102554321289,11
21,596100,39.38994598388672,-8.289047241210938,11
22,596300,39.389930725097656,-8.2889986038208,12
23,596500,39.389930725097656,-8.2889986038208,11
24,596600,39.38991928100586,-8.288944244384766,11
25,596700,39.389892578125,-8.28889274597168,11
26,596900,39.38985061645508,-8.288837432861328,6
27,597100,39.38981246948242,-8.28878116607666,6
28,597300,39.3897705078125,-8.288719177246094,6
29,597500,39.3897705078125,-8.288719177246094,6
30,597600,39.389732360839844,-8.288656234741211,6
31,597700,39.389732360839844,-8.288656234741211,4
32,598100,39.389732360839844,-8.288656234741211,0
33,598500,39.389732360839844,-8.288656234741211,3
34,599600,39.389732360839844,-8.288656234741211,0
35,600300,39.389129638671875,-8.28796100616455,0
36,600500,39.389129638671875,-8.28796100616455,5
37,600700,39.389060974121094,-8.287896156311035,5
38,600900,39.38901138305664,-8.287919044494629,3
39,601100,39.38893127441406,-8.28808879852295,3
40,601300,39.38882827758789,-8.28830623626709,3
41,601700,39.38878631591797,-8.288105010986328,4
42,601900,39.38874053955078,-8.288101196289062,4
43,602100,39.3886833190918,-8.288101196289062,5
44,602300,39.38862609863281,-8.288153648376465,7
