,ts,height,velocity,acceleration
10386,695950,2118.037109375,-12.915056228637695,0.0
10387,695960,2117.904052734375,-12.91906452178955,0.0
10388,695970,2117.773681640625,-12.920249938964844,0.0
10389,695980,2117.65869140625,-12.905502319335938,0.0
10390,695990,2117.533447265625,-12.901483535766602,0.0
10391,696000,2117.3876953125,-12.918913841247559,0.0
10392,696010,2117.28076171875,-12.895978927612305,0.0
10393,696020,2117.17626953125,-12.870780944824219,0.0
10394,696030,2117.059326171875,-12.858725547790527,0.0
10395,696040,2116.94482421875,-12.844189643859863,0.0
10396,696050,2116.81787109375,-12.842589378356934,0.0
10397,696060,2116.70849609375,-12.822937965393066,0.0
10398,696070,2116.586669921875,-12.816330909729004,0.0
10399,696080,2116.4716796875,-12.80276870727539,0.0
10400,696090,2116.369873046875,-12.775784492492676,0.0
10401,696100,2116.270263671875,-12.7466459274292,0.0
10402,696110,2116.173095703125,-12.715399742126465,0.0
10403,696120,2116.080078125,-12.679912567138672,0.0
10404,696130,2115.995849609375,-12.63585090637207,0.0
10405,696140,2115.91357421875,-12.590007781982422,0.0
10406,696150,2115.8271484375,-12.549042701721191,0.0
10407,696160,2115.742919921875,-12.506254196166992,0.0
10408,696170,2115.697021484375,-12.424365043640137,0.0
10409,696180,2115.65283203125,-12.341517448425293,0.0
10410,696190,2115.584716796875,-12.284090042114258,0.0
10411,696200,2115.49755859375,-12.247204780578613,0.0
10412,696210,2115.412353515625,-12.208476066589355,0.0
10413,696220,2115.329345703125,-12.167950630187988,0.0
10414,696230,2115.24853515625,-12.125675201416016,0.0
10415,696240,2115.169677734375,-12.081690788269043,0.0
10416,696250,2115.082275390625,-12.04697036743164,0.0
10417,696260,2114.992919921875,-12.014777183532715,0.0
10418,696270,2114.9013671875,-11.985121726989746,0.0
10419,696280,2114.81640625,-11.949101448059082,0.0
10420,696290,2114.733642578125,-11.911290168762207,0.0
10421,696300,2114.6484375,-11.876155853271484,0.0
10422,696310,2114.5654296875,-11.839224815368652,0.0
10423,696320,2114.484375,-11.800538063049316,0.0
10424,696330,2114.405517578125,-11.76014232635498,0.0
10425,696340,2114.322265625,-11.724635124206543,0.0
10426,696350,2114.240966796875,-11.687372207641602,0.0
10427,696360,2114.16162109375,-11.648390769958496,0.0
10428,696370,2114.08447265625,-11.607736587524414,0.0
10429,696380,2114.02197265625,-11.552288055419922,0.0
10430,696390,2113.971923828125,-11.484598159790039,0.0
10431,696400,2113.923583984375,-11.415862083435059,0.0
10432,696410,2113.902099609375,-11.319769859313965,0.0
10433,696420,2113.90966796875,-11.19471549987793,0.0
10434,696430,2113.918212890625,-11.06984806060791,0.0
10435,696440,2113.927978515625,-10.945192337036133,0.0
10436,696450,2113.938720703125,-10.820770263671875,0.0
10437,696460,2113.950439453125,-10.696601867675781,0.0
10438,696470,2113.97607421875,-10.55948257446289,0.0
10439,696480,2113.976806640625,-10.449326515197754,0.0
10440,696490,2113.9638671875,-10.354570388793945,0.0
10441,696500,2113.949951171875,-10.26174545288086,0.0
10442,696510,2113.937255859375,-10.168645858764648,0.0
10443,696520,2113.925537109375,-10.075292587280273,0.0
10444,696530,2113.9150390625,-9.981712341308594,0.0
10445,696540,2113.907958984375,-9.885744094848633,0.0
10446,696550,2113.89990234375,-9.791831970214844,0.0
10447,696560,2113.886474609375,-9.704325675964355,0.0
10448,696570,2113.880615234375,-9.609999656677246,0.0
10449,696580,2113.875732421875,-9.515564918518066,0.0
10450,696590,2113.842041015625,-9.451759338378906,0.0
10451,696600,2113.794921875,-9.402612686157227,0.0
10452,696610,2113.749267578125,-9.352477073669434,0.0
10453,696620,2113.705078125,-9.301383972167969,0.0
10454,696630,2113.66015625,-9.251543998718262,0.0
10455,696640,2113.61669921875,-9.200761795043945,0.0
10456,696650,2113.566162109375,-9.15787124633789,0.0
10457,696660,2113.508544921875,-9.122716903686523,0.0
10458,696670,2113.4501953125,-9.088530540466309,0.0
10459,696680,2113.3935546875,-9.053116798400879,0.0
10460,696690,2113.33837890625,-9.016507148742676,0.0
10461,696700,2113.2890625,-8.974309921264648,0.0
10462,696710,2113.240966796875,-8.931072235107422,0.0
10463,696720,2113.1943359375,-8.886824607849121,0.0
10464,696730,2113.149169921875,-8.841598510742188,0.0
10465,696740,2113.09912109375,-8.802037239074707,0.0
10466,696750,2113.056640625,-8.754807472229004,0.0
10467,696760,2113.021728515625,-8.7001314163208,0.0
10468,696770,2112.98193359375,-8.651286125183105,0.0
10469,696780,2112.943603515625,-8.601606369018555,0.0
10470,696790,2112.8916015625,-8.56647777557373,0.0
10471,696800,2112.830322265625,-8.541239738464355,0.0
10472,696810,2112.760009765625,-8.525690078735352,0.0
10473,696820,2112.689208984375,-8.510839462280273,0.0
10474,696830,2112.619873046875,-8.494486808776855,0.0
10475,696840,2112.518310546875,-8.511751174926758,0.0
10476,696850,2112.382568359375,-8.56418514251709,0.0
10477,696860,2112.246826171875,-8.615915298461914,0.0
10478,696870,2112.107177734375,-8.671311378479004,0.0
10479,696880,2111.9423828125,-8.7522611618042,0.0
10480,696890,2111.7802734375,-8.829700469970703,0.0
10481,696900,2111.620361328125,-8.903680801391602,0.0
10482,696910,2111.456787109375,-8.980809211730957,0.0
10483,696920,2111.2958984375,-9.054452896118164,0.0
10484,696930,2111.126953125,-9.135656356811523,0.0
10485,696940,2110.97119140625,-9.20227336883545,0.0
10486,696950,2110.818115234375,-9.265570640563965,0.0
10487,696960,2110.608154296875,-9.386972427368164,0.0
10488,696970,2110.397216796875,-9.50832748413086,0.0
10489,696980,2110.189453125,-9.625182151794434,0.0
10490,696990,2109.984619140625,-9.737604141235352,0.0
10491,697000,2109.778564453125,-9.850031852722168,0.0
10492,697010,2109.571533203125,-9.962433815002441,0.0
10493,697020,2109.36767578125,-10.070418357849121,0.0
10494,697030,2109.139404296875,-10.202584266662598,0.0
10495,697040,2108.906005859375,-10.338624000549316,0.0
10496,697050,2108.676025390625,-10.469687461853027,0.0
10497,697060,2108.447265625,-10.598027229309082,0.0
10498,697070,2108.21142578125,-10.732471466064453,0.0
10499,697080,2107.97265625,-10.868443489074707,0.0
10500,697090,2107.71435546875,-11.023419380187988,0.0
10501,697100,2107.44482421875,-11.18818187713623,0.0
10502,697110,2107.179443359375,-11.347196578979492,0.0
