,ts,filtered_altitude_AGL,filtered_acceleration
0,105234,-0.16382381319999695,-0.02034282684326172
1,105244,-0.13740062713623047,-0.02034282684326172
2,105254,-0.13740062713623047,-0.025427818298339844
3,105264,-0.13740062713623047,-0.025427818298339844
4,105274,-0.13740062713623047,-0.02034282684326172
5,105284,-0.13740062713623047,-0.025427818298339844
6,105294,-0.13740062713623047,-0.025427818298339844
7,105304,-0.08455422520637512,-0.025427818298339844
8,105314,-0.13740062713623047,-0.025427818298339844
9,105324,-0.13740062713623047,-0.025427818298339844
10,105334,-0.2219548523426056,-0.025427818298339844
11,105344,-0.2219548523426056,-0.015256881713867188
12,105354,-0.2219548523426056,0.0
13,105364,-0.2219548523426056,0.0
14,105374,-0.2219548523426056,0.0
15,105384,-0.2219548523426056,-0.015256881713867188
16,105394,-0.28008586168289185,-0.02034282684326172
17,105404,-0.2219548523426056,-0.02034282684326172
18,105414,-0.2219548523426056,-0.015256881713867188
19,105424,-0.2219548523426056,-0.015256881713867188
20,105434,-0.16382381319999695,-0.02034282684326172
21,105444,-0.16382381319999695,-0.02034282684326172
22,105454,-0.16382381319999695,-0.02034282684326172
23,105464,-0.13740062713623047,-0.02034282684326172
24,105474,-0.08455422520637512,-0.015256881713867188
25,105484,-0.08455422520637512,-0.010170936584472656
26,105494,-0.1109774261713028,-0.010170936584472656
27,105504,-0.1109774261713028,-0.010170936584472656
28,105514,-0.058131031692028046,-0.010170936584472656
29,105524,-0.026423197239637375,-0.010170936584472656
30,105534,-0.026423197239637375,-0.015256881713867188
31,105544,-0.026423197239637375,-0.015256881713867188
32,105554,-0.026423197239637375,-0.010170936584472656
33,105564,-0.1109774261713028,-0.010170936584472656
34,105574,-0.1109774261713028,-0.010170936584472656
35,105584,-0.08455422520637512,-0.005085945129394531
36,105594,-0.08455422520637512,-0.005085945129394531
37,105604,-0.08455422520637512,-0.010170936584472656
38,105614,-0.08455422520637512,-0.005085945129394531
39,105624,-0.08455422520637512,-0.005085945129394531
40,105634,-0.16382381319999695,-0.005085945129394531
41,105644,-0.08455422520637512,-0.005085945129394531
42,105654,-0.08455422520637512,-0.015256881713867188
43,105664,-0.08455422520637512,-0.015256881713867188
44,105674,-0.08455422520637512,-0.015256881713867188
45,105684,-0.08455422520637512,-0.010170936584472656
46,105694,-0.08455422520637512,-0.010170936584472656
47,105704,-0.19553165137767792,-0.015256881713867188
48,105714,-0.19553165137767792,-0.010170936584472656
49,105724,-0.16382381319999695,-0.010170936584472656
50,106134,-0.08455422520637512,-0.005085945129394531
51,106144,-0.08455422520637512,-0.005085945129394531
52,106154,-0.1109774261713028,-0.005085945129394531
53,106164,-0.16382381319999695,-0.015256881713867188
54,106524,-0.13740062713623047,-0.005085945129394531
55,106534,-0.13740062713623047,-0.010170936584472656
56,106544,-0.16382381319999695,-0.010170936584472656
57,106554,-0.16382381319999695,-0.010170936584472656
58,106564,-0.16382381319999695,-0.010170936584472656
59,106574,-0.16382381319999695,-0.005085945129394531
60,106584,-0.16382381319999695,0.0
61,106594,-0.16382381319999695,0.0
62,106604,-0.1109774261713028,0.0
63,106614,-0.058131031692028046,0.0
64,106624,-0.058131031692028046,0.0
65,106634,-0.058131031692028046,-0.005085945129394531
66,106644,-0.026423197239637375,-0.005085945129394531
67,106654,-0.058131031692028046,-0.005085945129394531
68,106664,-0.058131031692028046,-0.005085945129394531
69,106674,-0.08455422520637512,-0.005085945129394531
70,106684,-0.08455422520637512,-0.005085945129394531
71,106694,-0.08455422520637512,0.005085945129394531
72,106704,-0.08455422520637512,0.005085945129394531
73,106714,-0.08455422520637512,0.005085945129394531
74,106724,-0.08455422520637512,0.005085945129394531
75,106734,-0.08455422520637512,0.005085945129394531
76,106744,-0.08455422520637512,0.005085945129394531
77,106754,-0.058131031692028046,0.005085945129394531
78,106764,-0.058131031692028046,0.005085945129394531
79,106774,-0.058131031692028046,9.5367431640625e-07
80,106784,-0.2219548523426056,0.0
81,106794,-0.16382381319999695,0.0
82,106804,-0.2219548523426056,-0.005085945129394531
83,106814,-0.16382381319999695,-0.005085945129394531
84,106824,-0.19553165137767792,-0.005085945129394531
85,106834,-0.2219548523426056,-0.005085945129394531
86,106844,-0.2219548523426056,-0.005085945129394531
87,106854,-0.2219548523426056,-0.005085945129394531
88,106864,-0.19553165137767792,-0.005085945129394531
89,106874,-0.16382381319999695,-0.005085945129394531
90,106884,-0.19553165137767792,-0.005085945129394531
91,106894,-0.16382381319999695,-0.005085945129394531
92,106904,-0.19553165137767792,0.0
93,106914,-0.2219548523426056,-0.005085945129394531
94,106924,-0.13740062713623047,-0.005085945129394531
95,106934,-0.13740062713623047,-0.005085945129394531
96,106944,-0.13740062713623047,-0.005085945129394531
97,106954,-0.13740062713623047,0.0
98,106964,-0.1109774261713028,0.0
99,106974,-0.08455422520637512,0.0
100,106984,-0.1109774261713028,-0.005085945129394531
101,106994,-0.08455422520637512,-0.005085945129394531
102,107004,-0.08455422520637512,-0.005085945129394531
103,107014,-0.1109774261713028,0.0
104,107024,-0.16382381319999695,0.0
105,107034,-0.1109774261713028,-0.005085945129394531
106,107044,-0.16382381319999695,-0.005085945129394531
107,107054,-0.16382381319999695,-0.005085945129394531
108,107064,-0.19553165137767792,-0.005085945129394531
109,107074,-0.28008586168289185,-0.005085945129394531
110,107084,-0.28008586168289185,-0.005085945129394531
111,107094,-0.19553165137767792,9.5367431640625e-07
112,107104,-0.19553165137767792,0.005085945129394531
113,107114,-0.19553165137767792,0.005085945129394531
114,107124,-0.19553165137767792,0.005085945129394531
115,107134,-0.13740062713623047,0.005085945129394531
116,107144,-0.13740062713623047,0.005085945129394531
117,107154,-0.13740062713623047,0.005085945129394531
118,107164,-0.13740062713623047,0.005085945129394531
119,107174,-0.16382381319999695,0.005085945129394531
120,107184,-0.2219548523426056,0.005085945129394531
121,107194,-0.2219548523426056,0.005085945129394531
122,107204,-0.16382381319999695,9.5367431640625e-07
123,107214,-0.16382381319999695,0.0
124,107224,-0.16382381319999695,0.0
125,107234,-0.24837805330753326,0.0
126,107244,-0.19553165137767792,0.0
127,107254,-0.08455422520637512,0.0
128,107264,-0.0,0.0
129,107274,-0.0,-0.005085945129394531
130,107284,-0.0,-0.010170936584472656
131,107294,-0.058131031692028046,-0.010170936584472656
132,107304,-0.08455422520637512,-0.010170936584472656
133,107314,-0.16382381319999695,-0.010170936584472656
134,107324,-0.16382381319999695,-0.010170936584472656
135,107334,-0.16382381319999695,-0.010170936584472656
136,107344,-0.16382381319999695,-0.015255928039550781
137,107354,-0.28008586168289185,-0.010170936584472656
138,107364,-0.28008586168289185,-0.010170936584472656
139,107374,-0.28008586168289185,-0.010170936584472656
140,107384,-0.28008586168289185,-0.015255928039550781
141,107394,-0.16382381319999695,-0.015255928039550781
142,107404,-0.13740062713623047,-0.015255928039550781
143,107414,-0.026423197239637375,-0.015255928039550781
144,107424,-0.026423197239637375,-0.015256881713867188
