,ts,height,velocity,acceleration
197,2.721,-0.19551588594913483,-0.18263940513134003,-0.22622480988502502
198,2.731,-0.1950235664844513,-0.18247057497501373,-0.22614498436450958
199,2.741,-0.19453978538513184,-0.18231162428855896,-0.226065531373024
200,2.751,-0.1940639317035675,-0.18206064403057098,-0.2158154994249344
201,2.761,-0.19359546899795532,-0.18181920051574707,-0.2157367616891861
202,2.771,-0.19258828461170197,-0.1809668242931366,-0.21055376529693604
203,2.781,-0.19213935732841492,-0.18070484697818756,-0.2104761302471161
204,2.791,-0.19115133583545685,-0.17988239228725433,-0.2103801667690277
205,2.801,-0.19017568230628967,-0.17908048629760742,-0.21028493344783783
206,2.811,-0.1892123520374298,-0.17829884588718414,-0.21019041538238525
207,2.821,-0.18880702555179596,-0.1781066358089447,-0.2101152539253235
208,2.831,-0.18786291778087616,-0.17745475471019745,-0.22019268572330475
209,2.841,-0.18693195283412933,-0.17682243883609772,-0.22009988129138947
210,2.851,-0.18601402640342712,-0.17620941996574402,-0.2200077623128891
211,2.861,-0.18903863430023193,-0.17971523106098175,-0.22005049884319305
212,2.871,-0.18974284827709198,-0.18076398968696594,-0.2200128138065338
213,2.881,-0.19273453950881958,-0.18408678472042084,-0.20988193154335022
214,2.891,-0.19569697976112366,-0.18734478950500488,-0.20991984009742737
215,2.901,-0.1975385844707489,-0.1893998235464096,-0.20991839468479156
216,2.911,-0.19936227798461914,-0.1914147287607193,-0.2099156379699707
217,2.921,-0.20225955545902252,-0.19452863931655884,-0.20994879305362701
218,2.931,-0.20403671264648438,-0.19659355282783508,-0.22519956529140472
219,2.941,-0.20579740405082703,-0.19861967861652374,-0.22519218921661377
220,2.951,-0.2075415551662445,-0.20060734450817108,-0.22518356144428253
221,2.961,-0.20926915109157562,-0.20255692303180695,-0.2251736968755722
222,2.971,-0.21032527089118958,-0.20378552377223969,-0.2251403033733368
223,2.981,-0.21202650666236877,-0.20567400753498077,-0.22512845695018768
224,2.991,-0.2154572308063507,-0.20929639041423798,-0.2200888991355896
225,3.001,-0.21819742023944855,-0.2121104598045349,-0.21502555906772614
226,3.011,-0.2191619724035263,-0.21299231052398682,-0.2098989635705948
227,3.021,-0.2218616008758545,-0.21567468345165253,-0.20991797745227814
228,3.031,-0.22453173995018005,-0.2182985097169876,-0.20993506908416748
229,3.041,-0.22717243432998657,-0.220864400267601,-0.2099502682685852
230,3.051,-0.22978396713733673,-0.22342385351657867,-0.21505048871040344
231,3.061,-0.2323666214942932,-0.22592662274837494,-0.2150619626045227
232,3.071,-0.2349207103252411,-0.22842417657375336,-0.22015659511089325
233,3.081,-0.23570017516613007,-0.22904443740844727,-0.2201051265001297
234,3.091,-0.23646961152553558,-0.22964726388454437,-0.22005312144756317
235,3.101,-0.23722907900810242,-0.23023289442062378,-0.22000059485435486
236,3.111,-0.2368869185447693,-0.2296120524406433,-0.21482552587985992
237,3.121,-0.23654574155807495,-0.2289978563785553,-0.2147357165813446
238,3.131,-0.2362053543329239,-0.22833940386772156,-0.20955927670001984
239,3.141,-0.23586530983448029,-0.2276366949081421,-0.20438501238822937
240,3.151,-0.23552541434764862,-0.22694061696529388,-0.20429600775241852
241,3.161,-0.23518572747707367,-0.22625114023685455,-0.20420725643634796
242,3.171,-0.2348465621471405,-0.2256190925836563,-0.20920376479625702
243,3.181,-0.2345084547996521,-0.22504450380802155,-0.21420244872570038
244,3.191,-0.23417171835899353,-0.22447645664215088,-0.2141145020723343
245,3.201,-0.23383638262748718,-0.22391493618488312,-0.2140268087387085
246,3.211,-0.23350247740745544,-0.22335989773273468,-0.2139393836259842
247,3.221,-0.233170285820961,-0.22286216914653778,-0.2189372032880783
248,3.231,-0.23284032940864563,-0.22242172062397003,-0.22393624484539032
249,3.241,-0.23251287639141083,-0.22198761999607086,-0.2238495945930481
250,3.251,-0.2310965657234192,-0.22042134404182434,-0.2237263023853302
251,3.261,-0.2296941876411438,-0.21888472139835358,-0.22360403835773468
252,3.271,-0.22830572724342346,-0.2173774391412735,-0.22348280251026154
253,3.281,-0.22856824100017548,-0.21760688722133636,-0.22341786324977875
254,3.291,-0.2282818704843521,-0.21726077795028687,-0.22333434224128723
255,3.301,-0.2279980480670929,-0.21692009270191193,-0.22325104475021362
256,3.311,-0.2305542677640915,-0.2195446640253067,-0.2232637256383896
