,ts,id,Gx,Gy,Gz,Ax,Ay,Az
110,66419,IMU0,176,-2,-89,64,22,1070
111,66419,IMU1,18,9,0,-2,-44,1081
112,66429,IMU0,179,-1,-88,64,22,1074
113,66429,IMU1,18,10,1,-2,-43,1081
114,66439,IMU0,173,-1,-87,64,24,1071
115,66439,IMU1,18,10,0,-2,-44,1082
116,66449,IMU0,170,-1,-89,64,22,1075
117,66449,IMU1,18,11,0,-3,-43,1082
118,66459,IMU0,177,-3,-91,58,22,1075
119,66459,IMU1,20,10,-1,-7,-43,1082
120,66469,IMU0,177,-1,-90,63,24,1075
121,66469,IMU1,19,11,0,-4,-41,1082
122,66479,IMU0,181,-4,-90,63,22,1074
123,66479,IMU1,19,9,1,-3,-43,1084
124,66489,IMU0,177,1,-89,61,22,1072
125,66489,IMU1,18,13,1,-4,-45,1082
126,66499,IMU0,173,-1,-86,64,22,1072
127,66499,IMU1,19,10,0,-2,-44,1082
128,66509,IMU0,174,-3,-84,61,24,1075
129,66509,IMU1,18,11,0,-3,-44,1085
130,66519,IMU0,170,0,-84,64,24,1068
131,66519,IMU1,19,10,-1,-1,-43,1081
132,66529,IMU0,176,-3,-87,64,22,1068
133,66529,IMU1,19,10,0,-3,-45,1084
134,66539,IMU0,174,-2,-87,63,22,1076
135,66539,IMU1,19,11,1,-2,-44,1084
136,66549,IMU0,173,-2,-86,61,23,1077
137,66549,IMU1,19,9,0,-2,-44,1082
138,66559,IMU0,174,-1,-88,61,23,1079
139,66559,IMU1,19,11,0,-1,-43,1084
140,66569,IMU0,174,-1,-85,63,24,1079
141,66569,IMU1,19,11,0,-1,-43,1084
142,66579,IMU0,178,-1,-85,60,25,1079
143,66579,IMU1,19,11,0,-3,-43,1084
144,66589,IMU0,172,-4,-86,62,24,1078
145,66589,IMU1,18,10,0,-3,-43,1081
146,66599,IMU0,175,-7,-87,64,21,1075
147,66599,IMU1,18,10,0,-4,-43,1081
148,66609,IMU0,171,-5,-84,62,21,1079
149,66609,IMU1,18,10,0,-4,-44,1081
150,66619,IMU0,174,-5,-85,64,23,1078
151,66619,IMU1,18,9,0,-3,-43,1081
152,66629,IMU0,171,-4,-85,64,23,1077
153,66629,IMU1,17,10,0,-2,-43,1082
154,66639,IMU0,170,-2,-85,61,25,1078
155,66639,IMU1,17,10,0,-2,-45,1083
156,66649,IMU0,172,-2,-85,62,26,1079
157,66649,IMU1,17,11,0,-2,-44,1081
158,66659,IMU0,166,1,-83,63,24,1075
159,66659,IMU1,18,10,0,-2,-44,1082
160,66669,IMU0,169,-1,-85,65,22,1073
161,66669,IMU1,17,11,0,-2,-45,1082
162,66679,IMU0,172,0,-88,65,21,1068
163,66679,IMU1,17,11,1,-3,-44,1083
164,66689,IMU0,170,-2,-88,63,21,1070
165,66689,IMU1,18,10,1,-3,-44,1082
166,66699,IMU0,176,-2,-87,62,22,1075
167,66699,IMU1,18,11,1,-3,-44,1084
168,66709,IMU0,177,-2,-87,63,23,1075
169,66709,IMU1,18,10,0,-3,-44,1082
170,66719,IMU0,173,-3,-87,63,22,1074
171,66719,IMU1,17,9,0,-3,-44,1082
172,66729,IMU0,173,-2,-85,64,20,1073
173,66729,IMU1,16,10,1,-3,-43,1082
174,66739,IMU0,176,-3,-86,65,21,1071
175,66739,IMU1,16,10,0,-3,-43,1082
176,66749,IMU0,175,-3,-85,64,22,1078
177,66749,IMU1,17,10,0,-3,-44,1083
178,66759,IMU0,174,-1,-85,64,22,1073
179,66759,IMU1,17,9,0,-2,-43,1085
180,66769,IMU0,174,-1,-85,64,23,1078
181,66769,IMU1,17,10,0,-3,-43,1084
182,66779,IMU0,177,-1,-86,63,23,1078
183,66779,IMU1,17,10,0,-2,-43,1085
